date,private browsing safari,search without history
2011-01-01,21,3
2011-02-01,22,2
2011-03-01,22,1
2011-04-01,24,2
2011-05-01,23,2
2011-06-01,24,2
2011-07-01,35,3
2011-08-01,33,2
2011-09-01,26,3
2011-10-01,42,2
2011-11-01,39,3
2011-12-01,39,2
2012-01-01,38,2
2012-02-01,34,3
2012-03-01,37,2
2012-04-01,35,3
2012-05-01,34,2
2012-06-01,34,3
2012-07-01,36,3
2012-08-01,37,3
2012-09-01,39,3
2012-10-01,31,3
2012-11-01,28,2
2012-12-01,35,2
2013-01-01,36,3
2013-02-01,34,3
2013-03-01,30,3
2013-04-01,29,2
2013-05-01,29,2
2013-06-01,33,4
2013-07-01,35,3
2013-08-01,32,4
2013-09-01,88,4
2013-10-01,73,3
2013-11-01,59,4
2013-12-01,65,3
2014-01-01,61,3
2014-02-01,51,4
2014-03-01,49,3
2014-04-01,44,4
2014-05-01,46,3
2014-06-01,48,3
2014-07-01,49,3
2014-08-01,48,3
2014-09-01,63,4
2014-10-01,100,5
2014-11-01,76,3
2014-12-01,53,4
2015-01-01,48,5
2015-02-01,43,3
2015-03-01,42,4
2015-04-01,39,4
2015-05-01,34,4
2015-06-01,35,4
2015-07-01,37,4
2015-08-01,38,4
2015-09-01,35,4
2015-10-01,33,4
2015-11-01,33,4
2015-12-01,36,4
2016-01-01,32,4
2016-02-01,25,5
2016-03-01,28,4
2016-04-01,31,5
2016-05-01,28,4
2016-06-01,27,4
2016-07-01,25,4
2016-08-01,31,5
2016-09-01,29,4
2016-10-01,27,4
2016-11-01,25,4
2016-12-01,22,4
2017-01-01,24,5
