date,incognito login,search without history
2011-01-01,20,43
2011-02-01,8,35
2011-03-01,15,22
2011-04-01,10,28
2011-05-01,22,22
2011-06-01,10,35
2011-07-01,12,44
2011-08-01,28,23
2011-09-01,9,47
2011-10-01,15,30
2011-11-01,9,41
2011-12-01,17,28
2012-01-01,10,25
2012-02-01,24,40
2012-03-01,15,40
2012-04-01,20,40
2012-05-01,11,35
2012-06-01,17,37
2012-07-01,13,50
2012-08-01,21,38
2012-09-01,19,38
2012-10-01,17,43
2012-11-01,25,31
2012-12-01,10,39
2013-01-01,17,50
2013-02-01,26,50
2013-03-01,23,56
2013-04-01,23,37
2013-05-01,21,41
2013-06-01,25,58
2013-07-01,35,46
2013-08-01,18,51
2013-09-01,22,61
2013-10-01,24,51
2013-11-01,93,60
2013-12-01,30,44
2014-01-01,39,46
2014-02-01,37,42
2014-03-01,33,59
2014-04-01,31,55
2014-05-01,29,44
2014-06-01,28,43
2014-07-01,28,62
2014-08-01,28,49
2014-09-01,26,60
2014-10-01,45,75
2014-11-01,26,50
2014-12-01,16,60
2015-01-01,50,67
2015-02-01,32,44
2015-03-01,42,61
2015-04-01,63,62
2015-05-01,29,70
2015-06-01,30,61
2015-07-01,66,60
2015-08-01,46,66
2015-09-01,72,58
2015-10-01,56,64
2015-11-01,70,52
2015-12-01,66,62
2016-01-01,64,56
2016-02-01,75,83
2016-03-01,73,66
2016-04-01,66,68
2016-05-01,74,59
2016-06-01,85,72
2016-07-01,78,71
2016-08-01,81,76
2016-09-01,82,78
2016-10-01,91,61
2016-11-01,80,60
2016-12-01,96,70
2017-01-01,100,75
