date,private search google,search without history
2011-01-01,56,20
2011-02-01,49,14
2011-03-01,59,10
2011-04-01,55,13
2011-05-01,61,11
2011-06-01,84,17
2011-07-01,71,18
2011-08-01,67,11
2011-09-01,66,19
2011-10-01,77,12
2011-11-01,65,18
2011-12-01,61,11
2012-01-01,88,14
2012-02-01,74,20
2012-03-01,85,16
2012-04-01,84,21
2012-05-01,78,16
2012-06-01,57,20
2012-07-01,73,20
2012-08-01,65,20
2012-09-01,65,18
2012-10-01,52,21
2012-11-01,55,15
2012-12-01,75,17
2013-01-01,71,23
2013-02-01,75,20
2013-03-01,56,22
2013-04-01,62,18
2013-05-01,63,16
2013-06-01,66,25
2013-07-01,70,19
2013-08-01,67,26
2013-09-01,70,26
2013-10-01,80,22
2013-11-01,88,25
2013-12-01,87,19
2014-01-01,100,23
2014-02-01,83,25
2014-03-01,84,24
2014-04-01,79,25
2014-05-01,77,21
2014-06-01,69,23
2014-07-01,88,24
2014-08-01,90,20
2014-09-01,96,27
2014-10-01,80,36
2014-11-01,77,22
2014-12-01,75,29
2015-01-01,86,33
2015-02-01,69,20
2015-03-01,83,28
2015-04-01,72,30
2015-05-01,71,29
2015-06-01,82,27
2015-07-01,79,27
2015-08-01,89,28
2015-09-01,75,29
2015-10-01,83,28
2015-11-01,77,27
2015-12-01,72,29
2016-01-01,85,28
2016-02-01,82,38
2016-03-01,73,32
2016-04-01,74,32
2016-05-01,82,26
2016-06-01,74,31
2016-07-01,69,28
2016-08-01,75,36
2016-09-01,90,31
2016-10-01,83,27
2016-11-01,82,29
2016-12-01,78,27
2017-01-01,90,36
