date,duckduckgo search engine,search without history
2011-01-01,8,27
2011-02-01,13,16
2011-03-01,7,11
2011-04-01,9,13
2011-05-01,3,15
2011-06-01,20,18
2011-07-01,12,23
2011-08-01,18,12
2011-09-01,11,24
2011-10-01,19,13
2011-11-01,16,19
2011-12-01,23,8
2012-01-01,41,20
2012-02-01,52,27
2012-03-01,47,24
2012-04-01,45,30
2012-05-01,34,23
2012-06-01,30,27
2012-07-01,36,21
2012-08-01,29,25
2012-09-01,32,24
2012-10-01,32,27
2012-11-01,27,21
2012-12-01,36,21
2013-01-01,35,29
2013-02-01,41,25
2013-03-01,25,25
2013-04-01,48,24
2013-05-01,35,17
2013-06-01,88,29
2013-07-01,91,21
2013-08-01,63,37
2013-09-01,68,30
2013-10-01,53,28
2013-11-01,67,28
2013-12-01,62,24
2014-01-01,83,35
2014-02-01,71,32
2014-03-01,63,26
2014-04-01,57,27
2014-05-01,93,26
2014-06-01,70,32
2014-07-01,79,26
2014-08-01,53,22
2014-09-01,70,34
2014-10-01,68,44
2014-11-01,71,25
2014-12-01,63,37
2015-01-01,55,40
2015-02-01,64,24
2015-03-01,64,34
2015-04-01,83,34
2015-05-01,57,29
2015-06-01,61,32
2015-07-01,65,33
2015-08-01,57,31
2015-09-01,83,35
2015-10-01,87,33
2015-11-01,77,37
2015-12-01,74,37
2016-01-01,76,40
2016-02-01,68,45
2016-03-01,67,38
2016-04-01,63,38
2016-05-01,61,34
2016-06-01,75,43
2016-07-01,85,34
2016-08-01,77,48
2016-09-01,81,37
2016-10-01,91,35
2016-11-01,99,36
2016-12-01,80,34
2017-01-01,100,46
