date,incognito mode android,search without history
2011-01-01,7,43
2011-02-01,8,29
2011-03-01,12,22
2011-04-01,10,28
2011-05-01,16,24
2011-06-01,5,35
2011-07-01,8,38
2011-08-01,6,24
2011-09-01,15,41
2011-10-01,11,26
2011-11-01,14,39
2011-12-01,17,23
2012-01-01,17,30
2012-02-01,17,42
2012-03-01,24,34
2012-04-01,18,45
2012-05-01,17,35
2012-06-01,25,43
2012-07-01,17,42
2012-08-01,33,43
2012-09-01,32,39
2012-10-01,42,44
2012-11-01,49,33
2012-12-01,40,37
2013-01-01,51,48
2013-02-01,66,44
2013-03-01,43,47
2013-04-01,63,37
2013-05-01,43,34
2013-06-01,61,54
2013-07-01,47,42
2013-08-01,58,56
2013-09-01,59,56
2013-10-01,51,48
2013-11-01,41,53
2013-12-01,78,41
2014-01-01,51,50
2014-02-01,63,53
2014-03-01,62,51
2014-04-01,67,54
2014-05-01,54,45
2014-06-01,61,49
2014-07-01,72,52
2014-08-01,79,43
2014-09-01,56,57
2014-10-01,58,76
2014-11-01,66,48
2014-12-01,60,63
2015-01-01,78,70
2015-02-01,55,44
2015-03-01,61,59
2015-04-01,59,64
2015-05-01,69,62
2015-06-01,67,58
2015-07-01,60,58
2015-08-01,76,60
2015-09-01,53,61
2015-10-01,70,59
2015-11-01,76,58
2015-12-01,100,62
2016-01-01,75,60
2016-02-01,62,80
2016-03-01,69,68
2016-04-01,73,68
2016-05-01,88,56
2016-06-01,72,67
2016-07-01,68,60
2016-08-01,70,76
2016-09-01,74,67
2016-10-01,58,59
2016-11-01,87,61
2016-12-01,98,58
2017-01-01,94,77
