date,most private browser,search without history
2011-01-01,6,56
2011-02-01,12,34
2011-03-01,22,22
2011-04-01,6,27
2011-05-01,17,31
2011-06-01,6,37
2011-07-01,11,48
2011-08-01,8,24
2011-09-01,18,50
2011-10-01,10,27
2011-11-01,5,40
2011-12-01,10,17
2012-01-01,18,41
2012-02-01,14,56
2012-03-01,18,49
2012-04-01,16,62
2012-05-01,9,47
2012-06-01,4,56
2012-07-01,4,44
2012-08-01,13,52
2012-09-01,11,49
2012-10-01,14,55
2012-11-01,15,43
2012-12-01,16,43
2013-01-01,7,59
2013-02-01,22,52
2013-03-01,9,51
2013-04-01,16,49
2013-05-01,12,35
2013-06-01,18,59
2013-07-01,25,43
2013-08-01,28,77
2013-09-01,14,62
2013-10-01,11,57
2013-11-01,18,58
2013-12-01,32,50
2014-01-01,17,71
2014-02-01,20,66
2014-03-01,12,54
2014-04-01,19,56
2014-05-01,17,54
2014-06-01,11,65
2014-07-01,26,55
2014-08-01,21,46
2014-09-01,25,69
2014-10-01,30,91
2014-11-01,14,51
2014-12-01,16,76
2015-01-01,19,82
2015-02-01,16,49
2015-03-01,25,70
2015-04-01,18,70
2015-05-01,10,59
2015-06-01,21,65
2015-07-01,23,67
2015-08-01,25,65
2015-09-01,16,72
2015-10-01,27,68
2015-11-01,21,77
2015-12-01,27,76
2016-01-01,25,83
2016-02-01,21,93
2016-03-01,17,79
2016-04-01,22,79
2016-05-01,24,71
2016-06-01,20,89
2016-07-01,19,71
2016-08-01,22,100
2016-09-01,21,76
2016-10-01,17,72
2016-11-01,21,75
2016-12-01,13,70
2017-01-01,23,95
