date,illegal search engines,search without history
2011-01-01,12,53
2011-02-01,22,37
2011-03-01,12,27
2011-04-01,21,35
2011-05-01,25,29
2011-06-01,12,44
2011-07-01,12,48
2011-08-01,14,30
2011-09-01,26,51
2011-10-01,17,33
2011-11-01,28,49
2011-12-01,9,29
2012-01-01,11,38
2012-02-01,21,52
2012-03-01,16,42
2012-04-01,31,56
2012-05-01,27,43
2012-06-01,20,53
2012-07-01,26,52
2012-08-01,24,53
2012-09-01,15,48
2012-10-01,11,55
2012-11-01,17,41
2012-12-01,18,46
2013-01-01,18,60
2013-02-01,31,55
2013-03-01,22,59
2013-04-01,18,47
2013-05-01,31,43
2013-06-01,23,67
2013-07-01,25,52
2013-08-01,18,69
2013-09-01,24,70
2013-10-01,17,59
2013-11-01,21,66
2013-12-01,29,51
2014-01-01,25,62
2014-02-01,33,66
2014-03-01,22,64
2014-04-01,24,67
2014-05-01,24,57
2014-06-01,15,61
2014-07-01,24,65
2014-08-01,13,53
2014-09-01,23,72
2014-10-01,24,95
2014-11-01,15,60
2014-12-01,24,78
2015-01-01,15,87
2015-02-01,8,55
2015-03-01,15,74
2015-04-01,10,80
2015-05-01,11,77
2015-06-01,22,72
2015-07-01,17,72
2015-08-01,17,75
2015-09-01,19,76
2015-10-01,11,74
2015-11-01,13,72
2015-12-01,18,77
2016-01-01,14,75
2016-02-01,11,100
2016-03-01,11,84
2016-04-01,15,85
2016-05-01,14,70
2016-06-01,13,83
2016-07-01,14,75
2016-08-01,12,95
2016-09-01,14,84
2016-10-01,17,73
2016-11-01,10,76
2016-12-01,8,73
2017-01-01,10,96
