date,open incognito tab,search without history
2011-01-01,6,21
2011-02-01,3,14
2011-03-01,6,11
2011-04-01,8,14
2011-05-01,5,12
2011-06-01,6,17
2011-07-01,8,19
2011-08-01,4,12
2011-09-01,6,20
2011-10-01,5,13
2011-11-01,7,19
2011-12-01,6,12
2012-01-01,7,15
2012-02-01,4,21
2012-03-01,7,17
2012-04-01,10,22
2012-05-01,4,17
2012-06-01,8,21
2012-07-01,9,21
2012-08-01,13,21
2012-09-01,16,19
2012-10-01,15,22
2012-11-01,13,16
2012-12-01,9,18
2013-01-01,18,24
2013-02-01,14,22
2013-03-01,17,23
2013-04-01,13,18
2013-05-01,24,17
2013-06-01,29,26
2013-07-01,47,21
2013-08-01,38,27
2013-09-01,33,28
2013-10-01,37,23
2013-11-01,38,26
2013-12-01,47,20
2014-01-01,46,24
2014-02-01,62,26
2014-03-01,36,25
2014-04-01,46,27
2014-05-01,39,22
2014-06-01,37,24
2014-07-01,42,26
2014-08-01,47,21
2014-09-01,50,28
2014-10-01,60,37
2014-11-01,45,24
2014-12-01,51,31
2015-01-01,46,34
2015-02-01,41,22
2015-03-01,46,29
2015-04-01,65,32
2015-05-01,47,30
2015-06-01,58,28
2015-07-01,70,28
2015-08-01,58,30
2015-09-01,77,30
2015-10-01,84,29
2015-11-01,79,28
2015-12-01,91,31
2016-01-01,93,30
2016-02-01,83,40
2016-03-01,91,33
2016-04-01,75,34
2016-05-01,93,28
2016-06-01,79,33
2016-07-01,79,30
2016-08-01,62,37
2016-09-01,76,33
2016-10-01,87,29
2016-11-01,90,30
2016-12-01,100,29
2017-01-01,78,38
