date,best privacy browser,search without history
2011-01-01,14,53
2011-02-01,9,37
2011-03-01,16,27
2011-04-01,17,35
2011-05-01,18,29
2011-06-01,14,44
2011-07-01,12,48
2011-08-01,17,30
2011-09-01,15,51
2011-10-01,17,33
2011-11-01,10,49
2011-12-01,21,29
2012-01-01,35,38
2012-02-01,33,52
2012-03-01,61,42
2012-04-01,26,56
2012-05-01,18,43
2012-06-01,33,53
2012-07-01,29,52
2012-08-01,24,53
2012-09-01,17,48
2012-10-01,22,55
2012-11-01,19,41
2012-12-01,22,46
2013-01-01,28,60
2013-02-01,21,55
2013-03-01,34,59
2013-04-01,24,47
2013-05-01,29,43
2013-06-01,20,67
2013-07-01,47,52
2013-08-01,43,69
2013-09-01,39,70
2013-10-01,27,59
2013-11-01,28,66
2013-12-01,35,51
2014-01-01,29,62
2014-02-01,31,66
2014-03-01,43,64
2014-04-01,31,67
2014-05-01,36,57
2014-06-01,33,61
2014-07-01,34,65
2014-08-01,39,53
2014-09-01,47,72
2014-10-01,47,95
2014-11-01,40,60
2014-12-01,41,78
2015-01-01,44,87
2015-02-01,39,55
2015-03-01,44,74
2015-04-01,52,80
2015-05-01,48,77
2015-06-01,47,72
2015-07-01,43,72
2015-08-01,66,75
2015-09-01,61,76
2015-10-01,53,74
2015-11-01,61,72
2015-12-01,45,77
2016-01-01,59,75
2016-02-01,52,100
2016-03-01,50,84
2016-04-01,54,85
2016-05-01,49,70
2016-06-01,48,83
2016-07-01,62,75
2016-08-01,50,95
2016-09-01,48,84
2016-10-01,51,73
2016-11-01,71,76
2016-12-01,64,73
2017-01-01,66,96
