date,private browsing iphone 6,search without history
2011-01-01,0,49
2011-02-01,0,34
2011-03-01,0,25
2011-04-01,0,32
2011-05-01,0,27
2011-06-01,0,40
2011-07-01,0,44
2011-08-01,0,27
2011-09-01,0,47
2011-10-01,0,30
2011-11-01,0,45
2011-12-01,5,27
2012-01-01,4,35
2012-02-01,4,48
2012-03-01,4,38
2012-04-01,4,52
2012-05-01,6,40
2012-06-01,8,49
2012-07-01,9,48
2012-08-01,11,49
2012-09-01,12,44
2012-10-01,5,51
2012-11-01,8,38
2012-12-01,9,42
2013-01-01,6,55
2013-02-01,8,50
2013-03-01,7,54
2013-04-01,14,43
2013-05-01,3,39
2013-06-01,3,61
2013-07-01,3,48
2013-08-01,3,64
2013-09-01,7,64
2013-10-01,5,54
2013-11-01,3,61
2013-12-01,6,47
2014-01-01,6,57
2014-02-01,4,61
2014-03-01,5,58
2014-04-01,7,62
2014-05-01,6,52
2014-06-01,5,55
2014-07-01,13,59
2014-08-01,12,49
2014-09-01,55,65
2014-10-01,62,87
2014-11-01,54,55
2014-12-01,60,72
2015-01-01,78,80
2015-02-01,70,50
2015-03-01,65,67
2015-04-01,80,73
2015-05-01,43,70
2015-06-01,87,66
2015-07-01,92,66
2015-08-01,100,69
2015-09-01,83,70
2015-10-01,67,67
2015-11-01,77,66
2015-12-01,98,71
2016-01-01,76,69
2016-02-01,38,92
2016-03-01,43,77
2016-04-01,34,78
2016-05-01,44,64
2016-06-01,41,76
2016-07-01,30,68
2016-08-01,36,87
2016-09-01,35,77
2016-10-01,35,67
2016-11-01,23,70
2016-12-01,29,67
2017-01-01,27,88
