date,how to turn on private browsing,search without history
2011-01-01,4,10
2011-02-01,3,7
2011-03-01,3,5
2011-04-01,7,7
2011-05-01,3,6
2011-06-01,4,9
2011-07-01,4,9
2011-08-01,8,6
2011-09-01,13,10
2011-10-01,14,6
2011-11-01,7,10
2011-12-01,9,6
2012-01-01,7,7
2012-02-01,9,10
2012-03-01,10,8
2012-04-01,8,11
2012-05-01,8,8
2012-06-01,12,10
2012-07-01,9,10
2012-08-01,12,10
2012-09-01,9,9
2012-10-01,12,11
2012-11-01,10,8
2012-12-01,11,9
2013-01-01,10,12
2013-02-01,13,11
2013-03-01,14,12
2013-04-01,18,9
2013-05-01,20,8
2013-06-01,15,13
2013-07-01,14,10
2013-08-01,15,14
2013-09-01,65,14
2013-10-01,72,12
2013-11-01,60,13
2013-12-01,80,10
2014-01-01,73,12
2014-02-01,66,13
2014-03-01,66,12
2014-04-01,54,13
2014-05-01,89,11
2014-06-01,94,12
2014-07-01,94,13
2014-08-01,100,10
2014-09-01,99,14
2014-10-01,75,19
2014-11-01,71,12
2014-12-01,64,15
2015-01-01,63,17
2015-02-01,59,11
2015-03-01,58,14
2015-04-01,55,16
2015-05-01,52,15
2015-06-01,54,14
2015-07-01,43,14
2015-08-01,55,15
2015-09-01,55,15
2015-10-01,46,14
2015-11-01,49,14
2015-12-01,48,15
2016-01-01,50,15
2016-02-01,33,20
2016-03-01,33,17
2016-04-01,28,17
2016-05-01,27,14
2016-06-01,24,16
2016-07-01,31,15
2016-08-01,26,18
2016-09-01,29,16
2016-10-01,34,14
2016-11-01,30,15
2016-12-01,27,14
2017-01-01,26,19
