date,"Facebook ""Privacy Policy""",privacy policy facebook
2011-01-01,6,6
2011-02-01,6,7
2011-03-01,8,7
2011-04-01,7,9
2011-05-01,7,8
2011-06-01,5,7
2011-07-01,8,7
2011-08-01,7,8
2011-09-01,5,7
2011-10-01,5,6
2011-11-01,7,7
2011-12-01,5,5
2012-01-01,6,7
2012-02-01,11,12
2012-03-01,11,12
2012-04-01,10,11
2012-05-01,7,8
2012-06-01,10,12
2012-07-01,8,9
2012-08-01,5,6
2012-09-01,6,6
2012-10-01,8,10
2012-11-01,15,15
2012-12-01,14,14
2013-01-01,7,8
2013-02-01,10,10
2013-03-01,7,9
2013-04-01,7,7
2013-05-01,6,7
2013-06-01,6,6
2013-07-01,6,7
2013-08-01,5,5
2013-09-01,7,9
2013-10-01,28,29
2013-11-01,6,7
2013-12-01,6,7
2014-01-01,5,6
2014-02-01,6,7
2014-03-01,7,6
2014-04-01,6,7
2014-05-01,7,7
2014-06-01,6,6
2014-07-01,6,6
2014-08-01,10,11
2014-09-01,8,8
2014-10-01,6,7
2014-11-01,9,12
2014-12-01,14,15
2015-01-01,98,98
2015-02-01,9,10
2015-03-01,7,7
2015-04-01,7,8
2015-05-01,6,7
2015-06-01,5,6
2015-07-01,5,6
2015-08-01,5,6
2015-09-01,97,100
2015-10-01,12,15
2015-11-01,5,6
2015-12-01,5,6
2016-01-01,5,6
2016-02-01,5,5
2016-03-01,6,7
2016-04-01,7,7
2016-05-01,6,7
2016-06-01,42,41
2016-07-01,44,44
2016-08-01,7,8
2016-09-01,8,9
2016-10-01,52,54
2016-11-01,6,8
2016-12-01,5,6
2017-01-01,9,10
