date,Facebook Terms of Service,facebook app privacy policy
2011-01-01,26,2
2011-02-01,41,3
2011-03-01,42,3
2011-04-01,35,4
2011-05-01,25,7
2011-06-01,26,6
2011-07-01,39,11
2011-08-01,33,4
2011-09-01,30,3
2011-10-01,36,2
2011-11-01,30,2
2011-12-01,28,3
2012-01-01,23,2
2012-02-01,30,6
2012-03-01,48,7
2012-04-01,40,17
2012-05-01,29,6
2012-06-01,44,4
2012-07-01,41,7
2012-08-01,33,6
2012-09-01,31,6
2012-10-01,34,5
2012-11-01,66,10
2012-12-01,57,7
2013-01-01,37,5
2013-02-01,49,13
2013-03-01,35,5
2013-04-01,28,4
2013-05-01,27,6
2013-06-01,33,4
2013-07-01,24,6
2013-08-01,26,6
2013-09-01,37,4
2013-10-01,39,4
2013-11-01,28,3
2013-12-01,25,4
2014-01-01,19,4
2014-02-01,34,9
2014-03-01,23,5
2014-04-01,32,6
2014-05-01,23,6
2014-06-01,20,11
2014-07-01,26,7
2014-08-01,100,14
2014-09-01,47,13
2014-10-01,35,7
2014-11-01,38,5
2014-12-01,51,4
2015-01-01,48,6
2015-02-01,22,3
2015-03-01,25,5
2015-04-01,22,3
2015-05-01,18,2
2015-06-01,20,5
2015-07-01,23,6
2015-08-01,17,5
2015-09-01,33,7
2015-10-01,25,6
2015-11-01,20,6
2015-12-01,26,6
2016-01-01,27,2
2016-02-01,24,4
2016-03-01,21,5
2016-04-01,23,5
2016-05-01,22,5
2016-06-01,25,3
2016-07-01,20,6
2016-08-01,26,7
2016-09-01,16,4
2016-10-01,32,6
2016-11-01,15,4
2016-12-01,20,7
2017-01-01,26,8
