date,facebook app security,facebook app privacy policy
2011-01-01,25,3
2011-02-01,32,6
2011-03-01,27,10
2011-04-01,23,9
2011-05-01,31,9
2011-06-01,36,9
2011-07-01,25,20
2011-08-01,46,9
2011-09-01,39,7
2011-10-01,37,3
2011-11-01,40,3
2011-12-01,44,7
2012-01-01,37,5
2012-02-01,42,9
2012-03-01,39,9
2012-04-01,36,31
2012-05-01,28,9
2012-06-01,45,6
2012-07-01,47,13
2012-08-01,34,8
2012-09-01,42,8
2012-10-01,44,10
2012-11-01,44,15
2012-12-01,57,13
2013-01-01,54,12
2013-02-01,45,20
2013-03-01,52,11
2013-04-01,50,7
2013-05-01,47,10
2013-06-01,45,8
2013-07-01,59,10
2013-08-01,48,9
2013-09-01,59,7
2013-10-01,43,8
2013-11-01,37,6
2013-12-01,45,9
2014-01-01,44,8
2014-02-01,48,12
2014-03-01,39,7
2014-04-01,35,8
2014-05-01,44,10
2014-06-01,41,14
2014-07-01,59,13
2014-08-01,100,22
2014-09-01,52,16
2014-10-01,62,13
2014-11-01,60,7
2014-12-01,46,8
2015-01-01,51,11
2015-02-01,57,9
2015-03-01,43,11
2015-04-01,41,7
2015-05-01,45,7
2015-06-01,51,9
2015-07-01,55,10
2015-08-01,52,10
2015-09-01,69,12
2015-10-01,65,9
2015-11-01,61,7
2015-12-01,72,9
2016-01-01,60,5
2016-02-01,57,6
2016-03-01,64,9
2016-04-01,56,9
2016-05-01,72,10
2016-06-01,62,7
2016-07-01,61,12
2016-08-01,63,11
2016-09-01,60,6
2016-10-01,47,10
2016-11-01,62,6
2016-12-01,56,9
2017-01-01,61,14
