date,how to protect against phishing
2011-01-01,68
2011-02-01,54
2011-03-01,32
2011-04-01,47
2011-05-01,32
2011-06-01,31
2011-07-01,31
2011-08-01,31
2011-09-01,46
2011-10-01,58
2011-11-01,29
2011-12-01,57
2012-01-01,65
2012-02-01,36
2012-03-01,34
2012-04-01,36
2012-05-01,100
2012-06-01,35
2012-07-01,26
2012-08-01,25
2012-09-01,25
2012-10-01,46
2012-11-01,38
2012-12-01,69
2013-01-01,46
2013-02-01,46
2013-03-01,54
2013-04-01,52
2013-05-01,34
2013-06-01,52
2013-07-01,20
2013-08-01,20
2013-09-01,60
2013-10-01,38
2013-11-01,19
2013-12-01,58
2014-01-01,54
2014-02-01,66
2014-03-01,53
2014-04-01,55
2014-05-01,46
2014-06-01,27
2014-07-01,50
2014-08-01,30
2014-09-01,48
2014-10-01,85
2014-11-01,56
2014-12-01,31
2015-01-01,35
2015-02-01,25
2015-03-01,68
2015-04-01,46
2015-05-01,17
2015-06-01,52
2015-07-01,40
2015-08-01,28
2015-09-01,50
2015-10-01,47
2015-11-01,43
2015-12-01,44
2016-01-01,47
2016-02-01,77
2016-03-01,43
2016-04-01,30
2016-05-01,29
2016-06-01,22
2016-07-01,23
2016-08-01,66
2016-09-01,29
2016-10-01,79
2016-11-01,47
2016-12-01,41
2017-01-01,53
