date,phishing website list
2011-01-01,33
2011-02-01,53
2011-03-01,45
2011-04-01,45
2011-05-01,95
2011-06-01,33
2011-07-01,65
2011-08-01,46
2011-09-01,59
2011-10-01,56
2011-11-01,66
2011-12-01,42
2012-01-01,52
2012-02-01,66
2012-03-01,38
2012-04-01,53
2012-05-01,38
2012-06-01,38
2012-07-01,38
2012-08-01,66
2012-09-01,25
2012-10-01,33
2012-11-01,38
2012-12-01,34
2013-01-01,62
2013-02-01,45
2013-03-01,100
2013-04-01,20
2013-05-01,20
2013-06-01,41
2013-07-01,27
2013-08-01,26
2013-09-01,52
2013-10-01,28
2013-11-01,38
2013-12-01,32
2014-01-01,59
2014-02-01,77
2014-03-01,29
2014-04-01,59
2014-05-01,42
2014-06-01,40
2014-07-01,59
2014-08-01,20
2014-09-01,47
2014-10-01,36
2014-11-01,28
2014-12-01,30
2015-01-01,62
2015-02-01,67
2015-03-01,55
2015-04-01,23
2015-05-01,41
2015-06-01,17
2015-07-01,25
2015-08-01,41
2015-09-01,49
2015-10-01,71
2015-11-01,37
2015-12-01,16
2016-01-01,30
2016-02-01,25
2016-03-01,19
2016-04-01,29
2016-05-01,33
2016-06-01,58
2016-07-01,29
2016-08-01,36
2016-09-01,43
2016-10-01,34
2016-11-01,46
2016-12-01,63
2017-01-01,39
