date,bulk email verifier
2011-01-01,50
2011-02-01,71
2011-03-01,38
2011-04-01,28
2011-05-01,29
2011-06-01,20
2011-07-01,52
2011-08-01,68
2011-09-01,42
2011-10-01,51
2011-11-01,57
2011-12-01,50
2012-01-01,26
2012-02-01,43
2012-03-01,51
2012-04-01,64
2012-05-01,54
2012-06-01,66
2012-07-01,61
2012-08-01,75
2012-09-01,44
2012-10-01,63
2012-11-01,41
2012-12-01,73
2013-01-01,33
2013-02-01,45
2013-03-01,68
2013-04-01,49
2013-05-01,44
2013-06-01,41
2013-07-01,40
2013-08-01,32
2013-09-01,67
2013-10-01,60
2013-11-01,91
2013-12-01,73
2014-01-01,39
2014-02-01,54
2014-03-01,66
2014-04-01,68
2014-05-01,44
2014-06-01,69
2014-07-01,91
2014-08-01,67
2014-09-01,57
2014-10-01,79
2014-11-01,67
2014-12-01,73
2015-01-01,65
2015-02-01,55
2015-03-01,84
2015-04-01,62
2015-05-01,80
2015-06-01,61
2015-07-01,90
2015-08-01,86
2015-09-01,72
2015-10-01,99
2015-11-01,82
2015-12-01,100
2016-01-01,46
2016-02-01,60
2016-03-01,71
2016-04-01,93
2016-05-01,85
2016-06-01,70
2016-07-01,86
2016-08-01,78
2016-09-01,46
2016-10-01,74
2016-11-01,91
2016-12-01,85
2017-01-01,93
