date,private internet browsing
2011-01-01,73
2011-02-01,83
2011-03-01,67
2011-04-01,86
2011-05-01,78
2011-06-01,100
2011-07-01,81
2011-08-01,82
2011-09-01,69
2011-10-01,65
2011-11-01,69
2011-12-01,72
2012-01-01,68
2012-02-01,72
2012-03-01,78
2012-04-01,68
2012-05-01,76
2012-06-01,83
2012-07-01,76
2012-08-01,83
2012-09-01,82
2012-10-01,75
2012-11-01,73
2012-12-01,73
2013-01-01,66
2013-02-01,66
2013-03-01,67
2013-04-01,70
2013-05-01,63
2013-06-01,73
2013-07-01,71
2013-08-01,80
2013-09-01,75
2013-10-01,71
2013-11-01,64
2013-12-01,69
2014-01-01,65
2014-02-01,74
2014-03-01,68
2014-04-01,58
2014-05-01,63
2014-06-01,59
2014-07-01,68
2014-08-01,58
2014-09-01,72
2014-10-01,68
2014-11-01,60
2014-12-01,65
2015-01-01,53
2015-02-01,55
2015-03-01,58
2015-04-01,43
2015-05-01,50
2015-06-01,55
2015-07-01,57
2015-08-01,62
2015-09-01,48
2015-10-01,50
2015-11-01,49
2015-12-01,49
2016-01-01,43
2016-02-01,40
2016-03-01,41
2016-04-01,43
2016-05-01,37
2016-06-01,46
2016-07-01,36
2016-08-01,37
2016-09-01,41
2016-10-01,34
2016-11-01,42
2016-12-01,30
2017-01-01,39
