date,no history
2011-01-01,81
2011-02-01,86
2011-03-01,82
2011-04-01,85
2011-05-01,83
2011-06-01,78
2011-07-01,75
2011-08-01,77
2011-09-01,79
2011-10-01,81
2011-11-01,88
2011-12-01,76
2012-01-01,81
2012-02-01,84
2012-03-01,86
2012-04-01,89
2012-05-01,93
2012-06-01,91
2012-07-01,81
2012-08-01,89
2012-09-01,95
2012-10-01,87
2012-11-01,88
2012-12-01,78
2013-01-01,81
2013-02-01,84
2013-03-01,86
2013-04-01,88
2013-05-01,90
2013-06-01,79
2013-07-01,84
2013-08-01,81
2013-09-01,83
2013-10-01,89
2013-11-01,90
2013-12-01,82
2014-01-01,84
2014-02-01,89
2014-03-01,89
2014-04-01,89
2014-05-01,93
2014-06-01,86
2014-07-01,86
2014-08-01,86
2014-09-01,90
2014-10-01,90
2014-11-01,94
2014-12-01,83
2015-01-01,83
2015-02-01,87
2015-03-01,90
2015-04-01,91
2015-05-01,88
2015-06-01,84
2015-07-01,88
2015-08-01,87
2015-09-01,98
2015-10-01,93
2015-11-01,94
2015-12-01,86
2016-01-01,92
2016-02-01,100
2016-03-01,99
2016-04-01,99
2016-05-01,93
2016-06-01,87
2016-07-01,86
2016-08-01,87
2016-09-01,92
2016-10-01,98
2016-11-01,96
2016-12-01,86
2017-01-01,92
