Date,anonymous web proxy,proxy web browser
2011-01-01,61.0,62.0
2011-02-01,49.0,25.0
2011-03-01,51.0,15.0
2011-04-01,31.0,31.0
2011-05-01,89.0,82.0
2011-06-01,54.0,31.0
2011-07-01,68.0,91.0
2011-08-01,78.0,93.0
2011-09-01,28.0,28.0
2011-10-01,46.0,40.0
2011-11-01,40.0,80.0
2011-12-01,44.0,64.0
2012-01-01,41.0,36.0
2012-02-01,37.0,49.0
2012-03-01,59.0,59.0
2012-04-01,30.0,61.0
2012-05-01,41.0,71.0
2012-06-01,43.0,49.0
2012-07-01,47.0,41.0
2012-08-01,23.0,74.0
2012-09-01,29.0,52.0
2012-10-01,47.0,100.0
2012-11-01,32.0,48.0
2012-12-01,37.0,64.0
2013-01-01,64.0,44.0
2013-02-01,47.0,52.0
2013-03-01,29.0,63.0
2013-04-01,20.0,69.0
2013-05-01,34.0,54.0
2013-06-01,15.0,36.0
2013-07-01,20.0,30.0
2013-08-01,10.0,49.0
2013-09-01,20.0,79.0
2013-10-01,28.0,61.0
2013-11-01,29.0,44.0
2013-12-01,24.0,67.0
2014-01-01,14.0,54.0
2014-02-01,20.0,55.0
2014-03-01,22.0,86.0
2014-04-01,37.0,60.0
2014-05-01,20.0,50.0
2014-06-01,22.0,61.0
2014-07-01,27.0,65.0
2014-08-01,27.0,70.0
2014-09-01,21.0,98.0
2014-10-01,5.0,49.0
2014-11-01,68.0,89.0
2014-12-01,41.0,92.0
2015-01-01,15.0,49.0
2015-02-01,21.0,16.0
2015-03-01,10.0,59.0
2015-04-01,10.0,26.0
2015-05-01,16.0,57.0
2015-06-01,27.0,49.0
2015-07-01,11.0,64.0
2015-08-01,31.0,47.0
2015-09-01,25.0,72.0
2015-10-01,38.0,58.0
2015-11-01,20.0,45.0
2015-12-01,15.0,34.0
2016-01-01,9.0,80.0
2016-02-01,9.0,57.0
2016-03-01,22.0,62.0
2016-04-01,28.0,56.0
2016-05-01,47.0,47.0
2016-06-01,15.0,26.0
