Date,anonymous web proxy,web proxies
2011-01-01,14.0,32.0
2011-02-01,11.0,59.0
2011-03-01,12.0,33.0
2011-04-01,7.0,38.0
2011-05-01,21.0,100.0
2011-06-01,13.0,34.0
2011-07-01,16.0,18.0
2011-08-01,18.0,25.0
2011-09-01,7.0,39.0
2011-10-01,11.0,34.0
2011-11-01,9.0,76.0
2011-12-01,10.0,54.0
2012-01-01,10.0,46.0
2012-02-01,9.0,62.0
2012-03-01,14.0,57.0
2012-04-01,7.0,70.0
2012-05-01,10.0,73.0
2012-06-01,10.0,44.0
2012-07-01,11.0,15.0
2012-08-01,5.0,25.0
2012-09-01,7.0,34.0
2012-10-01,11.0,37.0
2012-11-01,8.0,29.0
2012-12-01,9.0,29.0
2013-01-01,15.0,34.0
2013-02-01,11.0,35.0
2013-03-01,7.0,38.0
2013-04-01,5.0,41.0
2013-05-01,8.0,38.0
2013-06-01,4.0,17.0
2013-07-01,5.0,10.0
2013-08-01,2.0,13.0
2013-09-01,5.0,17.0
2013-10-01,7.0,40.0
2013-11-01,7.0,37.0
2013-12-01,6.0,33.0
2014-01-01,3.0,41.0
2014-02-01,5.0,28.0
2014-03-01,5.0,42.0
2014-04-01,9.0,33.0
2014-05-01,5.0,57.0
2014-06-01,5.0,23.0
2014-07-01,6.0,9.0
2014-08-01,6.0,18.0
2014-09-01,5.0,13.0
2014-10-01,1.0,15.0
2014-11-01,16.0,21.0
2014-12-01,10.0,21.0
2015-01-01,3.0,12.0
2015-02-01,5.0,21.0
2015-03-01,2.0,17.0
2015-04-01,2.0,17.0
2015-05-01,4.0,22.0
2015-06-01,6.0,9.0
2015-07-01,3.0,11.0
2015-08-01,7.0,6.0
2015-09-01,6.0,10.0
2015-10-01,9.0,18.0
2015-11-01,5.0,19.0
2015-12-01,3.0,21.0
2016-01-01,2.0,11.0
2016-02-01,2.0,14.0
2016-03-01,5.0,14.0
2016-04-01,7.0,16.0
2016-05-01,11.0,11.0
2016-06-01,4.0,7.0
