Date,anonymous web proxy,proxy web
2011-01-01,4.0,100.0
2011-02-01,3.0,88.0
2011-03-01,3.0,95.0
2011-04-01,2.0,88.0
2011-05-01,5.0,88.0
2011-06-01,3.0,77.0
2011-07-01,4.0,83.0
2011-08-01,5.0,84.0
2011-09-01,2.0,77.0
2011-10-01,3.0,83.0
2011-11-01,2.0,79.0
2011-12-01,3.0,71.0
2012-01-01,2.0,71.0
2012-02-01,2.0,82.0
2012-03-01,3.0,74.0
2012-04-01,2.0,71.0
2012-05-01,2.0,76.0
2012-06-01,3.0,53.0
2012-07-01,3.0,65.0
2012-08-01,1.0,66.0
2012-09-01,2.0,65.0
2012-10-01,3.0,77.0
2012-11-01,2.0,54.0
2012-12-01,2.0,61.0
2013-01-01,4.0,60.0
2013-02-01,3.0,71.0
2013-03-01,2.0,59.0
2013-04-01,1.0,64.0
2013-05-01,2.0,64.0
2013-06-01,1.0,59.0
2013-07-01,1.0,55.0
2013-08-01,1.0,46.0
2013-09-01,1.0,50.0
2013-10-01,2.0,65.0
2013-11-01,2.0,55.0
2013-12-01,1.0,62.0
2014-01-01,1.0,63.0
2014-02-01,1.0,75.0
2014-03-01,1.0,71.0
2014-04-01,2.0,68.0
2014-05-01,1.0,66.0
2014-06-01,1.0,82.0
2014-07-01,2.0,68.0
2014-08-01,2.0,71.0
2014-09-01,1.0,76.0
2014-10-01,0.0,74.0
2014-11-01,4.0,67.0
2014-12-01,2.0,61.0
2015-01-01,1.0,61.0
2015-02-01,1.0,65.0
2015-03-01,1.0,63.0
2015-04-01,1.0,67.0
2015-05-01,1.0,68.0
2015-06-01,2.0,64.0
2015-07-01,1.0,61.0
2015-08-01,2.0,57.0
2015-09-01,1.0,67.0
2015-10-01,2.0,75.0
2015-11-01,1.0,88.0
2015-12-01,1.0,56.0
2016-01-01,1.0,60.0
2016-02-01,1.0,57.0
2016-03-01,1.0,62.0
2016-04-01,2.0,68.0
2016-05-01,3.0,69.0
2016-06-01,1.0,57.0
