date,facebook and privacy issues
2011-01-01,49
2011-02-01,43
2011-03-01,77
2011-04-01,62
2011-05-01,66
2011-06-01,40
2011-07-01,43
2011-08-01,45
2011-09-01,65
2011-10-01,100
2011-11-01,48
2011-12-01,44
2012-01-01,41
2012-02-01,85
2012-03-01,74
2012-04-01,45
2012-05-01,63
2012-06-01,43
2012-07-01,24
2012-08-01,18
2012-09-01,48
2012-10-01,69
2012-11-01,71
2012-12-01,38
2013-01-01,32
2013-02-01,58
2013-03-01,49
2013-04-01,32
2013-05-01,34
2013-06-01,25
2013-07-01,12
2013-08-01,19
2013-09-01,33
2013-10-01,48
2013-11-01,44
2013-12-01,37
2014-01-01,22
2014-02-01,31
2014-03-01,49
2014-04-01,44
2014-05-01,31
2014-06-01,39
2014-07-01,14
2014-08-01,41
2014-09-01,23
2014-10-01,37
2014-11-01,65
2014-12-01,24
2015-01-01,49
2015-02-01,29
2015-03-01,26
2015-04-01,15
2015-05-01,28
2015-06-01,17
2015-07-01,18
2015-08-01,18
2015-09-01,47
2015-10-01,32
2015-11-01,19
2015-12-01,18
2016-01-01,25
2016-02-01,18
2016-03-01,15
2016-04-01,16
2016-05-01,19
2016-06-01,25
2016-07-01,20
2016-08-01,10
2016-09-01,17
2016-10-01,46
2016-11-01,15
2016-12-01,10
2017-01-01,14
