date,skype privacy policy
2011-01-01,45
2011-02-01,72
2011-03-01,57
2011-04-01,46
2011-05-01,43
2011-06-01,90
2011-07-01,44
2011-08-01,41
2011-09-01,81
2011-10-01,39
2011-11-01,77
2011-12-01,38
2012-01-01,52
2012-02-01,36
2012-03-01,46
2012-04-01,48
2012-05-01,100
2012-06-01,35
2012-07-01,68
2012-08-01,51
2012-09-01,67
2012-10-01,92
2012-11-01,76
2012-12-01,31
2013-01-01,37
2013-02-01,62
2013-03-01,46
2013-04-01,70
2013-05-01,45
2013-06-01,56
2013-07-01,73
2013-08-01,45
2013-09-01,67
2013-10-01,25
2013-11-01,60
2013-12-01,52
2014-01-01,48
2014-02-01,39
2014-03-01,70
2014-04-01,25
2014-05-01,41
2014-06-01,82
2014-07-01,54
2014-08-01,45
2014-09-01,51
2014-10-01,49
2014-11-01,33
2014-12-01,41
2015-01-01,61
2015-02-01,33
2015-03-01,30
2015-04-01,46
2015-05-01,60
2015-06-01,46
2015-07-01,68
2015-08-01,45
2015-09-01,81
2015-10-01,35
2015-11-01,29
2015-12-01,58
2016-01-01,72
2016-02-01,41
2016-03-01,38
2016-04-01,46
2016-05-01,29
2016-06-01,20
2016-07-01,80
2016-08-01,45
2016-09-01,45
2016-10-01,98
2016-11-01,49
2016-12-01,49
2017-01-01,47
