date,privacy policy YouTube
2011-01-01,25
2011-02-01,18
2011-03-01,8
2011-04-01,24
2011-05-01,24
2011-06-01,10
2011-07-01,9
2011-08-01,17
2011-09-01,13
2011-10-01,16
2011-11-01,23
2011-12-01,14
2012-01-01,81
2012-02-01,100
2012-03-01,97
2012-04-01,37
2012-05-01,23
2012-06-01,11
2012-07-01,27
2012-08-01,27
2012-09-01,17
2012-10-01,27
2012-11-01,17
2012-12-01,24
2013-01-01,23
2013-02-01,24
2013-03-01,33
2013-04-01,17
2013-05-01,24
2013-06-01,31
2013-07-01,20
2013-08-01,26
2013-09-01,30
2013-10-01,28
2013-11-01,17
2013-12-01,24
2014-01-01,25
2014-02-01,22
2014-03-01,23
2014-04-01,22
2014-05-01,32
2014-06-01,14
2014-07-01,24
2014-08-01,21
2014-09-01,17
2014-10-01,19
2014-11-01,29
2014-12-01,18
2015-01-01,19
2015-02-01,31
2015-03-01,25
2015-04-01,26
2015-05-01,27
2015-06-01,31
2015-07-01,24
2015-08-01,29
2015-09-01,38
2015-10-01,40
2015-11-01,30
2015-12-01,25
2016-01-01,33
2016-02-01,28
2016-03-01,27
2016-04-01,31
2016-05-01,30
2016-06-01,27
2016-07-01,40
2016-08-01,26
2016-09-01,44
2016-10-01,41
2016-11-01,44
2016-12-01,27
2017-01-01,34
