date,Anonymous Search engine,best anonymous browser
2011-01-01,23,12
2011-02-01,26,14
2011-03-01,26,7
2011-04-01,34,21
2011-05-01,31,11
2011-06-01,42,12
2011-07-01,28,11
2011-08-01,31,5
2011-09-01,38,24
2011-10-01,38,11
2011-11-01,41,8
2011-12-01,34,5
2012-01-01,54,20
2012-02-01,79,14
2012-03-01,74,16
2012-04-01,53,7
2012-05-01,57,8
2012-06-01,48,8
2012-07-01,52,10
2012-08-01,56,11
2012-09-01,48,9
2012-10-01,49,12
2012-11-01,54,13
2012-12-01,50,16
2013-01-01,32,14
2013-02-01,34,12
2013-03-01,49,14
2013-04-01,65,19
2013-05-01,47,18
2013-06-01,93,16
2013-07-01,85,15
2013-08-01,86,16
2013-09-01,73,19
2013-10-01,82,15
2013-11-01,78,17
2013-12-01,84,12
2014-01-01,96,19
2014-02-01,100,14
2014-03-01,82,15
2014-04-01,78,18
2014-05-01,72,13
2014-06-01,76,10
2014-07-01,62,11
2014-08-01,69,16
2014-09-01,72,16
2014-10-01,60,17
2014-11-01,68,15
2014-12-01,70,17
2015-01-01,70,25
2015-02-01,58,10
2015-03-01,55,18
2015-04-01,41,16
2015-05-01,51,15
2015-06-01,58,17
2015-07-01,51,22
2015-08-01,57,24
2015-09-01,53,18
2015-10-01,55,18
2015-11-01,48,19
2015-12-01,54,23
2016-01-01,64,21
2016-02-01,51,18
2016-03-01,45,21
2016-04-01,42,22
2016-05-01,50,21
2016-06-01,52,21
2016-07-01,50,18
2016-08-01,40,18
2016-09-01,42,21
2016-10-01,42,16
2016-11-01,33,14
2016-12-01,29,16
2017-01-01,32,21
