date,browse anonymously,best anonymous browser
2011-01-01,72,9
2011-02-01,55,11
2011-03-01,66,5
2011-04-01,67,16
2011-05-01,55,9
2011-06-01,57,9
2011-07-01,100,9
2011-08-01,72,4
2011-09-01,61,18
2011-10-01,63,9
2011-11-01,81,6
2011-12-01,65,4
2012-01-01,77,16
2012-02-01,89,11
2012-03-01,75,12
2012-04-01,83,5
2012-05-01,71,6
2012-06-01,80,6
2012-07-01,85,8
2012-08-01,70,8
2012-09-01,69,7
2012-10-01,83,9
2012-11-01,53,10
2012-12-01,78,12
2013-01-01,68,10
2013-02-01,73,9
2013-03-01,74,11
2013-04-01,80,15
2013-05-01,72,14
2013-06-01,79,13
2013-07-01,79,12
2013-08-01,76,12
2013-09-01,56,15
2013-10-01,56,11
2013-11-01,53,13
2013-12-01,71,9
2014-01-01,71,15
2014-02-01,71,11
2014-03-01,69,11
2014-04-01,65,14
2014-05-01,62,10
2014-06-01,72,7
2014-07-01,98,9
2014-08-01,82,13
2014-09-01,66,12
2014-10-01,75,13
2014-11-01,78,11
2014-12-01,63,13
2015-01-01,83,19
2015-02-01,69,7
2015-03-01,73,14
2015-04-01,72,12
2015-05-01,59,11
2015-06-01,69,13
2015-07-01,85,17
2015-08-01,97,18
2015-09-01,71,14
2015-10-01,70,14
2015-11-01,68,14
2015-12-01,58,17
2016-01-01,58,16
2016-02-01,63,14
2016-03-01,64,16
2016-04-01,48,17
2016-05-01,45,16
2016-06-01,52,16
2016-07-01,64,14
2016-08-01,52,14
2016-09-01,65,16
2016-10-01,58,12
2016-11-01,58,11
2016-12-01,58,12
2017-01-01,63,17
