date,How to be anonymous online,best anonymous browser
2011-01-01,29,47
2011-02-01,18,55
2011-03-01,17,28
2011-04-01,36,83
2011-05-01,44,44
2011-06-01,51,46
2011-07-01,34,45
2011-08-01,16,21
2011-09-01,39,94
2011-10-01,39,44
2011-11-01,22,30
2011-12-01,44,20
2012-01-01,63,81
2012-02-01,32,56
2012-03-01,44,61
2012-04-01,28,28
2012-05-01,34,30
2012-06-01,27,31
2012-07-01,35,39
2012-08-01,52,44
2012-09-01,73,34
2012-10-01,35,47
2012-11-01,24,51
2012-12-01,52,63
2013-01-01,29,54
2013-02-01,35,47
2013-03-01,60,56
2013-04-01,39,75
2013-05-01,17,70
2013-06-01,57,64
2013-07-01,60,60
2013-08-01,52,63
2013-09-01,55,75
2013-10-01,42,58
2013-11-01,43,69
2013-12-01,53,46
2014-01-01,50,77
2014-02-01,58,54
2014-03-01,43,58
2014-04-01,38,72
2014-05-01,57,50
2014-06-01,42,39
2014-07-01,34,45
2014-08-01,62,65
2014-09-01,46,62
2014-10-01,84,65
2014-11-01,32,58
2014-12-01,63,69
2015-01-01,56,100
2015-02-01,67,38
2015-03-01,67,72
2015-04-01,51,63
2015-05-01,61,58
2015-06-01,44,68
2015-07-01,41,87
2015-08-01,49,95
2015-09-01,51,70
2015-10-01,62,73
2015-11-01,74,74
2015-12-01,62,90
2016-01-01,87,81
2016-02-01,42,71
2016-03-01,44,83
2016-04-01,61,87
2016-05-01,64,83
2016-06-01,56,81
2016-07-01,51,71
2016-08-01,75,70
2016-09-01,67,82
2016-10-01,71,64
2016-11-01,74,57
2016-12-01,53,62
2017-01-01,58,85
