date,secret searches,best anonymous browser
2011-01-01,41,37
2011-02-01,48,43
2011-03-01,35,22
2011-04-01,49,65
2011-05-01,39,35
2011-06-01,77,36
2011-07-01,58,35
2011-08-01,46,17
2011-09-01,53,74
2011-10-01,39,35
2011-11-01,39,23
2011-12-01,62,15
2012-01-01,43,64
2012-02-01,44,44
2012-03-01,45,48
2012-04-01,11,22
2012-05-01,54,24
2012-06-01,42,24
2012-07-01,52,31
2012-08-01,41,34
2012-09-01,41,27
2012-10-01,28,37
2012-11-01,28,40
2012-12-01,91,50
2013-01-01,48,42
2013-02-01,50,37
2013-03-01,55,44
2013-04-01,51,59
2013-05-01,66,55
2013-06-01,39,51
2013-07-01,33,47
2013-08-01,30,49
2013-09-01,68,59
2013-10-01,64,46
2013-11-01,54,54
2013-12-01,76,37
2014-01-01,56,61
2014-02-01,40,43
2014-03-01,79,45
2014-04-01,47,57
2014-05-01,52,40
2014-06-01,86,30
2014-07-01,76,35
2014-08-01,54,51
2014-09-01,54,49
2014-10-01,42,51
2014-11-01,68,45
2014-12-01,57,54
2015-01-01,49,79
2015-02-01,60,30
2015-03-01,57,57
2015-04-01,59,49
2015-05-01,53,46
2015-06-01,30,53
2015-07-01,53,69
2015-08-01,52,74
2015-09-01,100,55
2015-10-01,51,57
2015-11-01,54,58
2015-12-01,75,70
2016-01-01,48,64
2016-02-01,72,56
2016-03-01,40,65
2016-04-01,82,68
2016-05-01,68,66
2016-06-01,46,64
2016-07-01,50,56
2016-08-01,34,55
2016-09-01,53,65
2016-10-01,43,50
2016-11-01,40,45
2016-12-01,43,49
2017-01-01,35,67
