date,Incognito Mode browser,best anonymous browser
2011-01-01,6,16
2011-02-01,13,20
2011-03-01,18,10
2011-04-01,15,29
2011-05-01,18,16
2011-06-01,12,16
2011-07-01,22,16
2011-08-01,15,8
2011-09-01,8,33
2011-10-01,23,16
2011-11-01,21,11
2011-12-01,12,7
2012-01-01,33,29
2012-02-01,13,20
2012-03-01,20,22
2012-04-01,31,10
2012-05-01,38,11
2012-06-01,39,11
2012-07-01,42,14
2012-08-01,35,15
2012-09-01,26,12
2012-10-01,28,17
2012-11-01,25,18
2012-12-01,28,22
2013-01-01,32,19
2013-02-01,32,17
2013-03-01,25,20
2013-04-01,35,26
2013-05-01,22,25
2013-06-01,63,23
2013-07-01,50,21
2013-08-01,64,22
2013-09-01,59,27
2013-10-01,71,21
2013-11-01,40,24
2013-12-01,61,16
2014-01-01,62,27
2014-02-01,41,19
2014-03-01,59,20
2014-04-01,55,25
2014-05-01,49,18
2014-06-01,46,14
2014-07-01,59,16
2014-08-01,62,23
2014-09-01,51,22
2014-10-01,75,23
2014-11-01,54,20
2014-12-01,66,24
2015-01-01,84,35
2015-02-01,78,14
2015-03-01,72,26
2015-04-01,72,22
2015-05-01,90,20
2015-06-01,97,24
2015-07-01,77,31
2015-08-01,76,33
2015-09-01,60,25
2015-10-01,84,26
2015-11-01,73,26
2015-12-01,100,32
2016-01-01,80,29
2016-02-01,97,25
2016-03-01,96,29
2016-04-01,77,31
2016-05-01,73,30
2016-06-01,76,29
2016-07-01,67,25
2016-08-01,82,25
2016-09-01,87,29
2016-10-01,68,22
2016-11-01,87,20
2016-12-01,86,22
2017-01-01,89,30
