date,facebook policies
2011-01-01,95
2011-02-01,86
2011-03-01,88
2011-04-01,70
2011-05-01,82
2011-06-01,79
2011-07-01,69
2011-08-01,67
2011-09-01,86
2011-10-01,71
2011-11-01,74
2011-12-01,56
2012-01-01,67
2012-02-01,87
2012-03-01,82
2012-04-01,83
2012-05-01,85
2012-06-01,53
2012-07-01,62
2012-08-01,63
2012-09-01,71
2012-10-01,85
2012-11-01,100
2012-12-01,66
2013-01-01,81
2013-02-01,71
2013-03-01,79
2013-04-01,84
2013-05-01,80
2013-06-01,55
2013-07-01,55
2013-08-01,65
2013-09-01,72
2013-10-01,73
2013-11-01,73
2013-12-01,50
2014-01-01,63
2014-02-01,65
2014-03-01,75
2014-04-01,71
2014-05-01,80
2014-06-01,65
2014-07-01,66
2014-08-01,58
2014-09-01,58
2014-10-01,69
2014-11-01,86
2014-12-01,67
2015-01-01,64
2015-02-01,64
2015-03-01,65
2015-04-01,65
2015-05-01,82
2015-06-01,45
2015-07-01,37
2015-08-01,45
2015-09-01,64
2015-10-01,57
2015-11-01,45
2015-12-01,43
2016-01-01,47
2016-02-01,56
2016-03-01,66
2016-04-01,54
2016-05-01,52
2016-06-01,49
2016-07-01,56
2016-08-01,48
2016-09-01,47
2016-10-01,52
2016-11-01,68
2016-12-01,40
2017-01-01,49
