date,Instagram account cancel
2011-01-01,0
2011-02-01,4
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,4
2011-07-01,0
2011-08-01,0
2011-09-01,9
2011-10-01,5
2011-11-01,8
2011-12-01,5
2012-01-01,7
2012-02-01,8
2012-03-01,8
2012-04-01,33
2012-05-01,14
2012-06-01,22
2012-07-01,27
2012-08-01,17
2012-09-01,20
2012-10-01,16
2012-11-01,28
2012-12-01,100
2013-01-01,49
2013-02-01,32
2013-03-01,32
2013-04-01,26
2013-05-01,50
2013-06-01,38
2013-07-01,37
2013-08-01,36
2013-09-01,42
2013-10-01,32
2013-11-01,25
2013-12-01,26
2014-01-01,30
2014-02-01,37
2014-03-01,28
2014-04-01,27
2014-05-01,25
2014-06-01,43
2014-07-01,39
2014-08-01,32
2014-09-01,30
2014-10-01,34
2014-11-01,34
2014-12-01,31
2015-01-01,34
2015-02-01,25
2015-03-01,30
2015-04-01,42
2015-05-01,44
2015-06-01,46
2015-07-01,39
2015-08-01,21
2015-09-01,41
2015-10-01,63
2015-11-01,47
2015-12-01,32
2016-01-01,46
2016-02-01,41
2016-03-01,57
2016-04-01,51
2016-05-01,52
2016-06-01,39
2016-07-01,54
2016-08-01,45
2016-09-01,41
2016-10-01,43
2016-11-01,54
2016-12-01,59
2017-01-01,57
