date,Google privacy,Gmail privacy
2011-01-01,14,2
2011-02-01,15,2
2011-03-01,16,3
2011-04-01,18,2
2011-05-01,16,2
2011-06-01,15,2
2011-07-01,20,2
2011-08-01,16,2
2011-09-01,20,2
2011-10-01,16,2
2011-11-01,18,3
2011-12-01,16,2
2012-01-01,59,4
2012-02-01,95,5
2012-03-01,100,5
2012-04-01,26,2
2012-05-01,21,2
2012-06-01,18,2
2012-07-01,17,2
2012-08-01,18,2
2012-09-01,18,3
2012-10-01,19,2
2012-11-01,18,3
2012-12-01,18,2
2013-01-01,18,2
2013-02-01,19,3
2013-03-01,20,3
2013-04-01,20,3
2013-05-01,19,3
2013-06-01,20,3
2013-07-01,17,3
2013-08-01,20,7
2013-09-01,19,3
2013-10-01,25,4
2013-11-01,23,3
2013-12-01,20,3
2014-01-01,21,4
2014-02-01,21,3
2014-03-01,21,3
2014-04-01,21,3
2014-05-01,24,3
2014-06-01,20,3
2014-07-01,19,3
2014-08-01,19,3
2014-09-01,24,3
2014-10-01,23,3
2014-11-01,22,3
2014-12-01,20,3
2015-01-01,19,3
2015-02-01,21,3
2015-03-01,21,3
2015-04-01,22,3
2015-05-01,22,3
2015-06-01,29,3
2015-07-01,24,3
2015-08-01,24,3
2015-09-01,25,3
2015-10-01,30,3
2015-11-01,26,3
2015-12-01,23,3
2016-01-01,23,3
2016-02-01,23,3
2016-03-01,24,3
2016-04-01,23,3
2016-05-01,22,3
2016-06-01,23,3
2016-07-01,22,3
2016-08-01,20,3
2016-09-01,23,4
2016-10-01,26,3
2016-11-01,22,3
2016-12-01,22,3
2017-01-01,24,3
