date,free text message spy
2011-01-01,81
2011-02-01,69
2011-03-01,46
2011-04-01,33
2011-05-01,43
2011-06-01,92
2011-07-01,51
2011-08-01,67
2011-09-01,65
2011-10-01,41
2011-11-01,45
2011-12-01,34
2012-01-01,50
2012-02-01,42
2012-03-01,43
2012-04-01,61
2012-05-01,63
2012-06-01,43
2012-07-01,65
2012-08-01,76
2012-09-01,69
2012-10-01,47
2012-11-01,52
2012-12-01,69
2013-01-01,42
2013-02-01,39
2013-03-01,39
2013-04-01,47
2013-05-01,54
2013-06-01,60
2013-07-01,79
2013-08-01,49
2013-09-01,55
2013-10-01,43
2013-11-01,90
2013-12-01,70
2014-01-01,54
2014-02-01,52
2014-03-01,63
2014-04-01,68
2014-05-01,69
2014-06-01,64
2014-07-01,50
2014-08-01,86
2014-09-01,42
2014-10-01,59
2014-11-01,63
2014-12-01,60
2015-01-01,55
2015-02-01,49
2015-03-01,39
2015-04-01,85
2015-05-01,89
2015-06-01,81
2015-07-01,73
2015-08-01,71
2015-09-01,57
2015-10-01,60
2015-11-01,100
2015-12-01,76
2016-01-01,79
2016-02-01,90
2016-03-01,63
2016-04-01,73
2016-05-01,92
2016-06-01,72
2016-07-01,43
2016-08-01,72
2016-09-01,43
2016-10-01,58
2016-11-01,71
2016-12-01,70
2017-01-01,57
