date,check my email inbox,how to protect against phishing
2011-01-01,23,12
2011-02-01,41,25
2011-03-01,41,15
2011-04-01,40,12
2011-05-01,33,11
2011-06-01,46,23
2011-07-01,39,11
2011-08-01,53,11
2011-09-01,56,10
2011-10-01,59,10
2011-11-01,40,20
2011-12-01,69,13
2012-01-01,33,13
2012-02-01,37,19
2012-03-01,47,9
2012-04-01,55,16
2012-05-01,55,26
2012-06-01,59,9
2012-07-01,79,9
2012-08-01,43,9
2012-09-01,60,13
2012-10-01,47,39
2012-11-01,58,11
2012-12-01,50,12
2013-01-01,65,10
2013-02-01,53,13
2013-03-01,50,19
2013-04-01,65,14
2013-05-01,54,11
2013-06-01,55,11
2013-07-01,47,7
2013-08-01,95,7
2013-09-01,64,35
2013-10-01,100,15
2013-11-01,69,20
2013-12-01,62,11
2014-01-01,74,17
2014-02-01,72,14
2014-03-01,77,16
2014-04-01,77,23
2014-05-01,53,21
2014-06-01,78,11
2014-07-01,62,17
2014-08-01,82,11
2014-09-01,55,16
2014-10-01,81,23
2014-11-01,60,11
2014-12-01,46,11
2015-01-01,77,20
2015-02-01,83,11
2015-03-01,60,18
2015-04-01,52,14
2015-05-01,56,6
2015-06-01,79,16
2015-07-01,63,10
2015-08-01,54,10
2015-09-01,70,13
2015-10-01,32,14
2015-11-01,39,15
2015-12-01,65,17
2016-01-01,62,14
2016-02-01,79,28
2016-03-01,59,16
2016-04-01,64,13
2016-05-01,59,13
2016-06-01,86,5
2016-07-01,65,5
2016-08-01,75,18
2016-09-01,83,15
2016-10-01,88,19
2016-11-01,78,26
2016-12-01,86,13
2017-01-01,75,9
