date,report gmail account,how to protect against phishing
2011-01-01,37,4
2011-02-01,35,8
2011-03-01,30,4
2011-04-01,55,4
2011-05-01,44,3
2011-06-01,52,7
2011-07-01,71,3
2011-08-01,81,3
2011-09-01,50,3
2011-10-01,33,3
2011-11-01,39,6
2011-12-01,49,4
2012-01-01,42,4
2012-02-01,48,6
2012-03-01,43,3
2012-04-01,35,5
2012-05-01,33,8
2012-06-01,38,3
2012-07-01,48,3
2012-08-01,61,3
2012-09-01,49,4
2012-10-01,51,12
2012-11-01,58,3
2012-12-01,22,4
2013-01-01,57,3
2013-02-01,46,4
2013-03-01,42,6
2013-04-01,52,4
2013-05-01,57,3
2013-06-01,60,3
2013-07-01,53,2
2013-08-01,50,2
2013-09-01,52,11
2013-10-01,49,5
2013-11-01,46,6
2013-12-01,49,3
2014-01-01,66,5
2014-02-01,57,4
2014-03-01,60,5
2014-04-01,69,7
2014-05-01,59,6
2014-06-01,64,3
2014-07-01,65,5
2014-08-01,83,3
2014-09-01,71,5
2014-10-01,45,7
2014-11-01,47,3
2014-12-01,38,3
2015-01-01,78,6
2015-02-01,71,3
2015-03-01,55,5
2015-04-01,58,4
2015-05-01,54,2
2015-06-01,70,5
2015-07-01,65,3
2015-08-01,66,3
2015-09-01,57,4
2015-10-01,55,4
2015-11-01,73,4
2015-12-01,67,5
2016-01-01,62,4
2016-02-01,70,9
2016-03-01,64,5
2016-04-01,77,4
2016-05-01,51,4
2016-06-01,72,2
2016-07-01,76,2
2016-08-01,100,5
2016-09-01,64,5
2016-10-01,70,6
2016-11-01,80,8
2016-12-01,74,4
2017-01-01,87,3
