date,bulk email verifier,how to protect against phishing
2011-01-01,26,18
2011-02-01,46,37
2011-03-01,50,22
2011-04-01,36,18
2011-05-01,25,17
2011-06-01,26,35
2011-07-01,39,17
2011-08-01,48,16
2011-09-01,57,16
2011-10-01,30,15
2011-11-01,54,30
2011-12-01,44,20
2012-01-01,31,20
2012-02-01,51,28
2012-03-01,52,13
2012-04-01,35,23
2012-05-01,47,39
2012-06-01,71,13
2012-07-01,48,13
2012-08-01,48,13
2012-09-01,17,20
2012-10-01,51,59
2012-11-01,39,16
2012-12-01,51,18
2013-01-01,18,14
2013-02-01,51,20
2013-03-01,39,28
2013-04-01,22,22
2013-05-01,35,16
2013-06-01,57,16
2013-07-01,63,11
2013-08-01,35,11
2013-09-01,44,52
2013-10-01,46,23
2013-11-01,56,30
2013-12-01,56,17
2014-01-01,62,25
2014-02-01,64,20
2014-03-01,61,24
2014-04-01,63,35
2014-05-01,60,32
2014-06-01,70,16
2014-07-01,68,26
2014-08-01,45,17
2014-09-01,59,25
2014-10-01,84,35
2014-11-01,55,16
2014-12-01,73,16
2015-01-01,59,30
2015-02-01,51,16
2015-03-01,38,26
2015-04-01,62,21
2015-05-01,73,9
2015-06-01,65,24
2015-07-01,73,15
2015-08-01,72,15
2015-09-01,71,20
2015-10-01,64,22
2015-11-01,47,22
2015-12-01,75,25
2016-01-01,58,21
2016-02-01,65,42
2016-03-01,56,25
2016-04-01,53,19
2016-05-01,79,20
2016-06-01,53,8
2016-07-01,90,8
2016-08-01,63,27
2016-09-01,30,23
2016-10-01,57,28
2016-11-01,100,38
2016-12-01,88,19
2017-01-01,90,14
