date,gmail phishing page,how to protect against phishing
2011-01-01,63,16
2011-02-01,50,33
2011-03-01,52,22
2011-04-01,48,16
2011-05-01,60,24
2011-06-01,46,31
2011-07-01,76,15
2011-08-01,65,14
2011-09-01,56,14
2011-10-01,47,13
2011-11-01,27,27
2011-12-01,53,20
2012-01-01,60,18
2012-02-01,51,25
2012-03-01,65,19
2012-04-01,100,19
2012-05-01,70,35
2012-06-01,60,12
2012-07-01,71,12
2012-08-01,58,12
2012-09-01,76,12
2012-10-01,68,42
2012-11-01,27,16
2012-12-01,64,21
2013-01-01,58,15
2013-02-01,42,16
2013-03-01,76,24
2013-04-01,53,24
2013-05-01,85,19
2013-06-01,87,19
2013-07-01,76,10
2013-08-01,38,9
2013-09-01,83,11
2013-10-01,62,13
2013-11-01,85,36
2013-12-01,76,18
2014-01-01,79,21
2014-02-01,64,23
2014-03-01,65,16
2014-04-01,72,34
2014-05-01,43,30
2014-06-01,76,9
2014-07-01,88,23
2014-08-01,60,18
2014-09-01,88,27
2014-10-01,63,30
2014-11-01,82,17
2014-12-01,90,17
2015-01-01,99,36
2015-02-01,73,13
2015-03-01,55,24
2015-04-01,96,20
2015-05-01,59,8
2015-06-01,64,24
2015-07-01,83,12
2015-08-01,51,12
2015-09-01,42,19
2015-10-01,62,15
2015-11-01,71,26
2015-12-01,56,23
2016-01-01,46,18
2016-02-01,53,42
2016-03-01,76,20
2016-04-01,79,28
2016-05-01,60,17
2016-06-01,58,7
2016-07-01,42,7
2016-08-01,71,14
2016-09-01,74,7
2016-10-01,54,29
2016-11-01,39,32
2016-12-01,45,23
2017-01-01,100,12
