date,how to prevent phishing attacks,how to protect against phishing
2011-01-01,100,50
2011-02-01,35,35
2011-03-01,32,47
2011-04-01,32,51
2011-05-01,32,32
2011-06-01,33,32
2011-07-01,30,32
2011-08-01,30,39
2011-09-01,30,45
2011-10-01,28,42
2011-11-01,28,28
2011-12-01,28,42
2012-01-01,51,26
2012-02-01,27,38
2012-03-01,25,51
2012-04-01,52,27
2012-05-01,25,99
2012-06-01,51,38
2012-07-01,50,25
2012-08-01,50,25
2012-09-01,37,25
2012-10-01,44,34
2012-11-01,22,22
2012-12-01,22,45
2013-01-01,21,20
2013-02-01,23,23
2013-03-01,37,60
2013-04-01,51,31
2013-05-01,20,30
2013-06-01,41,61
2013-07-01,20,20
2013-08-01,20,20
2013-09-01,49,39
2013-10-01,37,56
2013-11-01,28,76
2013-12-01,26,86
2014-01-01,26,44
2014-02-01,48,39
2014-03-01,43,87
2014-04-01,18,27
2014-05-01,37,55
2014-06-01,20,30
2014-07-01,29,30
2014-08-01,20,20
2014-09-01,94,38
2014-10-01,27,54
2014-11-01,18,55
2014-12-01,18,45
2015-01-01,33,67
2015-02-01,18,46
2015-03-01,42,33
2015-04-01,42,17
2015-05-01,17,17
2015-06-01,17,68
2015-07-01,17,50
2015-08-01,17,17
2015-09-01,24,48
2015-10-01,78,54
2015-11-01,16,63
2015-12-01,16,40
2016-01-01,30,23
2016-02-01,23,68
2016-03-01,28,14
2016-04-01,36,37
2016-05-01,28,35
2016-06-01,15,29
2016-07-01,15,37
2016-08-01,29,29
2016-09-01,14,29
2016-10-01,20,74
2016-11-01,47,68
2016-12-01,14,27
2017-01-01,58,13
