date,gmail phishing email example,how to protect against phishing
2011-01-01,0,30
2011-02-01,31,63
2011-03-01,28,28
2011-04-01,28,30
2011-05-01,28,28
2011-06-01,28,59
2011-07-01,28,29
2011-08-01,25,27
2011-09-01,25,27
2011-10-01,25,25
2011-11-01,0,50
2011-12-01,0,25
2012-01-01,0,23
2012-02-01,0,24
2012-03-01,0,22
2012-04-01,0,35
2012-05-01,0,66
2012-06-01,0,23
2012-07-01,0,23
2012-08-01,0,28
2012-09-01,0,33
2012-10-01,20,100
2012-11-01,20,20
2012-12-01,20,20
2013-01-01,20,18
2013-02-01,20,40
2013-03-01,18,45
2013-04-01,18,27
2013-05-01,18,18
2013-06-01,18,28
2013-07-01,16,18
2013-08-01,16,53
2013-09-01,16,88
2013-10-01,16,50
2013-11-01,17,42
2013-12-01,24,25
2014-01-01,31,39
2014-02-01,18,26
2014-03-01,18,54
2014-04-01,18,48
2014-05-01,18,56
2014-06-01,18,36
2014-07-01,16,52
2014-08-01,16,18
2014-09-01,16,33
2014-10-01,16,48
2014-11-01,0,24
2014-12-01,0,32
2015-01-01,0,38
2015-02-01,0,33
2015-03-01,0,44
2015-04-01,0,30
2015-05-01,0,38
2015-06-01,0,45
2015-07-01,0,23
2015-08-01,0,22
2015-09-01,0,29
2015-10-01,0,34
2015-11-01,0,28
2015-12-01,0,28
2016-01-01,0,40
2016-02-01,0,93
2016-03-01,12,56
2016-04-01,19,32
2016-05-01,22,25
2016-06-01,24,13
2016-07-01,26,13
2016-08-01,25,64
2016-09-01,12,38
2016-10-01,12,48
2016-11-01,12,55
2016-12-01,12,12
2017-01-01,17,28
