date,google phishing email,how to protect against phishing
2011-01-01,32,11
2011-02-01,22,22
2011-03-01,13,13
2011-04-01,25,11
2011-05-01,37,10
2011-06-01,34,21
2011-07-01,41,10
2011-08-01,22,10
2011-09-01,44,9
2011-10-01,44,9
2011-11-01,27,18
2011-12-01,21,12
2012-01-01,46,12
2012-02-01,31,17
2012-03-01,37,8
2012-04-01,25,14
2012-05-01,46,23
2012-06-01,21,8
2012-07-01,39,8
2012-08-01,52,8
2012-09-01,36,12
2012-10-01,59,35
2012-11-01,28,9
2012-12-01,38,11
2013-01-01,39,9
2013-02-01,47,12
2013-03-01,61,17
2013-04-01,54,13
2013-05-01,63,9
2013-06-01,69,10
2013-07-01,59,6
2013-08-01,63,6
2013-09-01,62,31
2013-10-01,76,14
2013-11-01,68,18
2013-12-01,66,10
2014-01-01,63,15
2014-02-01,59,12
2014-03-01,73,15
2014-04-01,77,21
2014-05-01,91,19
2014-06-01,91,10
2014-07-01,74,15
2014-08-01,55,10
2014-09-01,100,15
2014-10-01,77,21
2014-11-01,62,10
2014-12-01,68,10
2015-01-01,76,18
2015-02-01,100,10
2015-03-01,77,16
2015-04-01,57,13
2015-05-01,51,5
2015-06-01,76,14
2015-07-01,63,9
2015-08-01,55,9
2015-09-01,58,12
2015-10-01,88,13
2015-11-01,99,13
2015-12-01,50,15
2016-01-01,83,13
2016-02-01,93,25
2016-03-01,70,15
2016-04-01,76,11
2016-05-01,75,12
2016-06-01,70,5
2016-07-01,66,5
2016-08-01,57,16
2016-09-01,69,14
2016-10-01,86,17
2016-11-01,90,23
2016-12-01,76,11
2017-01-01,82,8
