date,check email address owner,how to protect against phishing
2011-01-01,30,30
2011-02-01,31,63
2011-03-01,28,38
2011-04-01,30,30
2011-05-01,28,28
2011-06-01,58,59
2011-07-01,43,29
2011-08-01,27,27
2011-09-01,26,27
2011-10-01,50,25
2011-11-01,50,50
2011-12-01,49,33
2012-01-01,23,34
2012-02-01,59,48
2012-03-01,55,22
2012-04-01,36,39
2012-05-01,36,66
2012-06-01,67,23
2012-07-01,33,23
2012-08-01,33,22
2012-09-01,22,33
2012-10-01,20,100
2012-11-01,40,27
2012-12-01,27,30
2013-01-01,27,24
2013-02-01,20,33
2013-03-01,18,48
2013-04-01,18,37
2013-05-01,35,27
2013-06-01,18,28
2013-07-01,36,18
2013-08-01,18,18
2013-09-01,18,88
2013-10-01,27,39
2013-11-01,25,51
2013-12-01,34,28
2014-01-01,63,42
2014-02-01,40,34
2014-03-01,15,41
2014-04-01,26,59
2014-05-01,43,54
2014-06-01,24,27
2014-07-01,35,44
2014-08-01,46,29
2014-09-01,25,42
2014-10-01,31,58
2014-11-01,32,27
2014-12-01,16,27
2015-01-01,30,50
2015-02-01,38,27
2015-03-01,39,45
2015-04-01,20,35
2015-05-01,25,15
2015-06-01,75,40
2015-07-01,52,25
2015-08-01,44,24
2015-09-01,14,34
2015-10-01,32,36
2015-11-01,21,38
2015-12-01,42,43
2016-01-01,36,36
2016-02-01,40,71
2016-03-01,41,41
2016-04-01,47,32
2016-05-01,25,33
2016-06-01,47,13
2016-07-01,19,13
2016-08-01,38,45
2016-09-01,29,38
2016-10-01,40,48
2016-11-01,36,65
2016-12-01,28,32
2017-01-01,30,23
