date,which of the following are not consequences of phishing,how to protect against phishing
2011-01-01,0,37
2011-02-01,39,78
2011-03-01,34,53
2011-04-01,75,38
2011-05-01,35,56
2011-06-01,37,73
2011-07-01,40,36
2011-08-01,42,33
2011-09-01,44,33
2011-10-01,47,31
2011-11-01,28,63
2011-12-01,28,47
2012-01-01,28,43
2012-02-01,74,60
2012-03-01,55,44
2012-04-01,29,44
2012-05-01,27,82
2012-06-01,48,28
2012-07-01,69,28
2012-08-01,27,28
2012-09-01,27,27
2012-10-01,25,99
2012-11-01,50,38
2012-12-01,25,51
2013-01-01,45,34
2013-02-01,34,38
2013-03-01,34,56
2013-04-01,68,57
2013-05-01,23,45
2013-06-01,23,46
2013-07-01,45,22
2013-08-01,22,22
2013-09-01,22,27
2013-10-01,31,31
2013-11-01,37,84
2013-12-01,42,42
2014-01-01,22,49
2014-02-01,22,54
2014-03-01,28,38
2014-04-01,34,80
2014-05-01,40,71
2014-06-01,53,22
2014-07-01,65,55
2014-08-01,31,44
2014-09-01,31,63
2014-10-01,46,69
2014-11-01,61,41
2014-12-01,20,41
2015-01-01,19,84
2015-02-01,18,31
2015-03-01,18,56
2015-04-01,18,47
2015-05-01,18,18
2015-06-01,19,57
2015-07-01,28,28
2015-08-01,36,28
2015-09-01,17,45
2015-10-01,17,34
2015-11-01,35,62
2015-12-01,18,53
2016-01-01,17,42
2016-02-01,17,100
2016-03-01,23,47
2016-04-01,16,65
2016-05-01,16,39
2016-06-01,0,16
2016-07-01,0,16
2016-08-01,0,32
2016-09-01,0,16
2016-10-01,0,68
2016-11-01,0,76
2016-12-01,0,53
2017-01-01,0,29
