date,free email verifier,how to protect against phishing
2011-01-01,60,9
2011-02-01,42,18
2011-03-01,51,11
2011-04-01,52,9
2011-05-01,56,8
2011-06-01,36,17
2011-07-01,49,8
2011-08-01,49,8
2011-09-01,73,8
2011-10-01,45,7
2011-11-01,58,14
2011-12-01,55,10
2012-01-01,41,10
2012-02-01,57,14
2012-03-01,53,6
2012-04-01,63,11
2012-05-01,48,19
2012-06-01,73,7
2012-07-01,85,6
2012-08-01,53,6
2012-09-01,73,10
2012-10-01,67,29
2012-11-01,52,8
2012-12-01,60,9
2013-01-01,85,7
2013-02-01,63,10
2013-03-01,60,14
2013-04-01,68,11
2013-05-01,58,8
2013-06-01,64,8
2013-07-01,68,5
2013-08-01,51,5
2013-09-01,80,26
2013-10-01,66,11
2013-11-01,73,15
2013-12-01,63,8
2014-01-01,45,12
2014-02-01,57,10
2014-03-01,66,12
2014-04-01,67,17
2014-05-01,61,16
2014-06-01,92,8
2014-07-01,81,13
2014-08-01,68,8
2014-09-01,100,12
2014-10-01,71,17
2014-11-01,76,8
2014-12-01,69,8
2015-01-01,53,14
2015-02-01,89,8
2015-03-01,79,13
2015-04-01,48,10
2015-05-01,73,4
2015-06-01,63,12
2015-07-01,75,7
2015-08-01,60,7
2015-09-01,69,10
2015-10-01,61,11
2015-11-01,51,11
2015-12-01,72,12
2016-01-01,69,10
2016-02-01,51,21
2016-03-01,59,12
2016-04-01,58,9
2016-05-01,69,10
2016-06-01,56,4
2016-07-01,67,4
2016-08-01,57,13
2016-09-01,57,11
2016-10-01,85,14
2016-11-01,79,19
2016-12-01,75,9
2017-01-01,77,7
