date,phishing tutorial,how to protect against phishing
2011-01-01,71,4
2011-02-01,85,8
2011-03-01,72,5
2011-04-01,57,4
2011-05-01,56,4
2011-06-01,100,7
2011-07-01,97,4
2011-08-01,90,3
2011-09-01,90,3
2011-10-01,61,3
2011-11-01,83,6
2011-12-01,86,4
2012-01-01,96,4
2012-02-01,88,6
2012-03-01,75,3
2012-04-01,69,5
2012-05-01,72,8
2012-06-01,67,3
2012-07-01,66,3
2012-08-01,64,3
2012-09-01,54,4
2012-10-01,54,12
2012-11-01,49,3
2012-12-01,48,4
2013-01-01,65,3
2013-02-01,72,4
2013-03-01,71,6
2013-04-01,48,5
2013-05-01,46,3
2013-06-01,59,3
2013-07-01,48,2
2013-08-01,46,2
2013-09-01,34,11
2013-10-01,41,5
2013-11-01,53,6
2013-12-01,43,4
2014-01-01,41,5
2014-02-01,48,4
2014-03-01,37,5
2014-04-01,36,7
2014-05-01,40,7
2014-06-01,39,3
2014-07-01,37,5
2014-08-01,37,4
2014-09-01,40,5
2014-10-01,41,7
2014-11-01,37,3
2014-12-01,25,3
2015-01-01,33,6
2015-02-01,22,3
2015-03-01,21,6
2015-04-01,30,4
2015-05-01,35,2
2015-06-01,39,5
2015-07-01,33,3
2015-08-01,35,3
2015-09-01,42,4
2015-10-01,30,5
2015-11-01,30,5
2015-12-01,35,5
2016-01-01,31,4
2016-02-01,19,9
2016-03-01,40,5
2016-04-01,25,4
2016-05-01,39,4
2016-06-01,35,2
2016-07-01,30,2
2016-08-01,36,6
2016-09-01,41,5
2016-10-01,24,6
2016-11-01,20,8
2016-12-01,22,4
2017-01-01,29,3
