date,verify email address without sending email,how to protect against phishing
2011-01-01,0,30
2011-02-01,0,63
2011-03-01,28,38
2011-04-01,28,30
2011-05-01,28,28
2011-06-01,29,59
2011-07-01,87,29
2011-08-01,41,27
2011-09-01,40,27
2011-10-01,25,25
2011-11-01,25,50
2011-12-01,25,33
2012-01-01,23,34
2012-02-01,24,48
2012-03-01,23,22
2012-04-01,23,39
2012-05-01,44,66
2012-06-01,23,23
2012-07-01,28,23
2012-08-01,33,22
2012-09-01,22,33
2012-10-01,20,100
2012-11-01,27,27
2012-12-01,40,30
2013-01-01,18,24
2013-02-01,40,33
2013-03-01,18,48
2013-04-01,18,37
2013-05-01,30,27
2013-06-01,18,28
2013-07-01,45,18
2013-08-01,53,18
2013-09-01,17,88
2013-10-01,33,39
2013-11-01,17,51
2013-12-01,34,28
2014-01-01,31,42
2014-02-01,34,34
2014-03-01,23,41
2014-04-01,16,59
2014-05-01,24,54
2014-06-01,24,27
2014-07-01,17,44
2014-08-01,17,29
2014-09-01,17,42
2014-10-01,26,58
2014-11-01,33,27
2014-12-01,16,27
2015-01-01,25,50
2015-02-01,24,27
2015-03-01,37,45
2015-04-01,40,35
2015-05-01,25,15
2015-06-01,30,40
2015-07-01,65,25
2015-08-01,23,24
2015-09-01,23,34
2015-10-01,23,36
2015-11-01,23,38
2015-12-01,14,43
2016-01-01,40,36
2016-02-01,13,71
2016-03-01,25,41
2016-04-01,26,32
2016-05-01,17,33
2016-06-01,13,13
2016-07-01,19,13
2016-08-01,13,45
2016-09-01,21,38
2016-10-01,48,48
2016-11-01,28,65
2016-12-01,18,32
2017-01-01,27,23
