date,gmail phishing code,how to protect against phishing
2011-01-01,44,30
2011-02-01,50,63
2011-03-01,56,38
2011-04-01,28,30
2011-05-01,28,28
2011-06-01,28,59
2011-07-01,29,29
2011-08-01,45,27
2011-09-01,25,27
2011-10-01,25,25
2011-11-01,25,50
2011-12-01,25,33
2012-01-01,46,34
2012-02-01,47,48
2012-03-01,22,22
2012-04-01,24,39
2012-05-01,29,66
2012-06-01,34,23
2012-07-01,22,23
2012-08-01,33,22
2012-09-01,22,33
2012-10-01,40,100
2012-11-01,40,27
2012-12-01,40,30
2013-01-01,36,24
2013-02-01,30,33
2013-03-01,27,48
2013-04-01,24,37
2013-05-01,18,27
2013-06-01,27,28
2013-07-01,27,18
2013-08-01,35,18
2013-09-01,35,88
2013-10-01,25,39
2013-11-01,67,51
2013-12-01,67,28
2014-01-01,37,42
2014-02-01,43,34
2014-03-01,41,41
2014-04-01,32,59
2014-05-01,27,54
2014-06-01,18,27
2014-07-01,35,44
2014-08-01,41,29
2014-09-01,17,42
2014-10-01,71,58
2014-11-01,43,27
2014-12-01,32,27
2015-01-01,55,50
2015-02-01,43,27
2015-03-01,59,45
2015-04-01,40,35
2015-05-01,44,15
2015-06-01,50,40
2015-07-01,50,25
2015-08-01,44,24
2015-09-01,48,34
2015-10-01,59,36
2015-11-01,56,38
2015-12-01,24,43
2016-01-01,54,36
2016-02-01,53,71
2016-03-01,54,41
2016-04-01,90,32
2016-05-01,96,33
2016-06-01,77,13
2016-07-01,56,13
2016-08-01,85,45
2016-09-01,88,38
2016-10-01,72,48
2016-11-01,93,65
2016-12-01,52,32
2017-01-01,46,23
