date,phishing website list,how to protect against phishing
2011-01-01,34,45
2011-02-01,71,36
2011-03-01,48,43
2011-04-01,86,46
2011-05-01,43,32
2011-06-01,33,33
2011-07-01,33,33
2011-08-01,31,39
2011-09-01,30,45
2011-10-01,43,38
2011-11-01,29,29
2011-12-01,38,38
2012-01-01,26,26
2012-02-01,41,54
2012-03-01,42,51
2012-04-01,36,27
2012-05-01,25,100
2012-06-01,51,34
2012-07-01,38,25
2012-08-01,42,25
2012-09-01,37,37
2012-10-01,30,45
2012-11-01,45,23
2012-12-01,23,46
2013-01-01,42,21
2013-02-01,31,31
2013-03-01,41,54
2013-04-01,31,35
2013-05-01,20,30
2013-06-01,21,52
2013-07-01,27,20
2013-08-01,34,20
2013-09-01,46,50
2013-10-01,47,44
2013-11-01,32,48
2013-12-01,32,71
2014-01-01,71,54
2014-02-01,72,46
2014-03-01,41,79
2014-04-01,61,42
2014-05-01,73,49
2014-06-01,61,27
2014-07-01,59,30
2014-08-01,60,20
2014-09-01,44,38
2014-10-01,36,60
2014-11-01,37,46
2014-12-01,43,36
2015-01-01,74,57
2015-02-01,68,37
2015-03-01,51,34
2015-04-01,29,23
2015-05-01,39,22
2015-06-01,57,63
2015-07-01,25,45
2015-08-01,17,22
2015-09-01,43,54
2015-10-01,62,52
2015-11-01,37,69
2015-12-01,16,32
2016-01-01,30,20
2016-02-01,23,61
2016-03-01,43,14
2016-04-01,49,30
2016-05-01,52,43
2016-06-01,74,30
2016-07-01,15,37
2016-08-01,44,44
2016-09-01,53,43
2016-10-01,32,59
2016-11-01,51,78
2016-12-01,64,28
2017-01-01,57,22
