date,phishing attack definition,how to protect against phishing
2011-01-01,31,23
2011-02-01,24,49
2011-03-01,23,29
2011-04-01,23,23
2011-05-01,43,22
2011-06-01,22,45
2011-07-01,30,22
2011-08-01,42,21
2011-09-01,39,21
2011-10-01,39,19
2011-11-01,29,39
2011-12-01,39,26
2012-01-01,27,26
2012-02-01,37,37
2012-03-01,17,17
2012-04-01,27,30
2012-05-01,34,51
2012-06-01,17,18
2012-07-01,35,17
2012-08-01,34,17
2012-09-01,23,26
2012-10-01,31,77
2012-11-01,15,21
2012-12-01,39,23
2013-01-01,38,19
2013-02-01,31,26
2013-03-01,23,37
2013-04-01,28,28
2013-05-01,41,21
2013-06-01,14,21
2013-07-01,18,14
2013-08-01,32,14
2013-09-01,76,68
2013-10-01,30,30
2013-11-01,35,39
2013-12-01,31,22
2014-01-01,37,33
2014-02-01,66,27
2014-03-01,40,32
2014-04-01,37,45
2014-05-01,50,42
2014-06-01,18,21
2014-07-01,13,34
2014-08-01,13,23
2014-09-01,34,32
2014-10-01,55,45
2014-11-01,38,21
2014-12-01,46,21
2015-01-01,19,39
2015-02-01,38,21
2015-03-01,65,35
2015-04-01,90,27
2015-05-01,61,11
2015-06-01,43,31
2015-07-01,65,19
2015-08-01,26,19
2015-09-01,52,26
2015-10-01,70,28
2015-11-01,65,29
2015-12-01,40,33
2016-01-01,52,28
2016-02-01,48,55
2016-03-01,74,32
2016-04-01,63,25
2016-05-01,52,26
2016-06-01,63,10
2016-07-01,50,10
2016-08-01,43,35
2016-09-01,72,30
2016-10-01,56,37
2016-11-01,100,50
2016-12-01,81,25
2017-01-01,88,18
