date,gmail hoax,how to protect against phishing
2011-01-01,84,7
2011-02-01,73,15
2011-03-01,90,9
2011-04-01,97,7
2011-05-01,92,7
2011-06-01,100,14
2011-07-01,52,7
2011-08-01,57,6
2011-09-01,75,6
2011-10-01,68,6
2011-11-01,78,12
2011-12-01,50,8
2012-01-01,41,8
2012-02-01,35,11
2012-03-01,69,5
2012-04-01,61,9
2012-05-01,50,15
2012-06-01,49,5
2012-07-01,52,5
2012-08-01,69,5
2012-09-01,89,8
2012-10-01,56,23
2012-11-01,47,6
2012-12-01,76,7
2013-01-01,98,6
2013-02-01,69,8
2013-03-01,65,11
2013-04-01,71,9
2013-05-01,51,6
2013-06-01,60,6
2013-07-01,59,4
2013-08-01,47,4
2013-09-01,63,21
2013-10-01,71,9
2013-11-01,76,12
2013-12-01,83,7
2014-01-01,86,10
2014-02-01,74,8
2014-03-01,75,10
2014-04-01,65,14
2014-05-01,63,13
2014-06-01,59,6
2014-07-01,53,10
2014-08-01,60,7
2014-09-01,67,10
2014-10-01,82,14
2014-11-01,53,6
2014-12-01,39,6
2015-01-01,61,12
2015-02-01,57,6
2015-03-01,44,10
2015-04-01,52,8
2015-05-01,27,3
2015-06-01,42,9
2015-07-01,35,6
2015-08-01,42,6
2015-09-01,69,8
2015-10-01,44,9
2015-11-01,39,9
2015-12-01,67,10
2016-01-01,43,8
2016-02-01,44,17
2016-03-01,35,10
2016-04-01,56,8
2016-05-01,36,8
2016-06-01,45,3
2016-07-01,35,3
2016-08-01,30,11
2016-09-01,52,9
2016-10-01,52,11
2016-11-01,52,15
2016-12-01,38,8
2017-01-01,49,5
