date,change youtube settings,youtube private channel
2011-01-01,40,31
2011-02-01,37,36
2011-03-01,40,31
2011-04-01,32,23
2011-05-01,37,26
2011-06-01,36,38
2011-07-01,43,41
2011-08-01,48,33
2011-09-01,49,38
2011-10-01,52,35
2011-11-01,51,42
2011-12-01,60,56
2012-01-01,55,56
2012-02-01,65,57
2012-03-01,49,58
2012-04-01,49,53
2012-05-01,48,43
2012-06-01,61,51
2012-07-01,74,47
2012-08-01,65,59
2012-09-01,76,64
2012-10-01,67,48
2012-11-01,68,50
2012-12-01,96,58
2013-01-01,81,60
2013-02-01,80,67
2013-03-01,88,56
2013-04-01,79,56
2013-05-01,77,44
2013-06-01,82,62
2013-07-01,83,69
2013-08-01,91,78
2013-09-01,88,68
2013-10-01,82,59
2013-11-01,85,46
2013-12-01,100,64
2014-01-01,98,63
2014-02-01,79,67
2014-03-01,84,55
2014-04-01,77,62
2014-05-01,80,49
2014-06-01,73,46
2014-07-01,89,52
2014-08-01,94,56
2014-09-01,97,46
2014-10-01,76,41
2014-11-01,90,46
2014-12-01,95,55
2015-01-01,95,46
2015-02-01,86,58
2015-03-01,93,57
2015-04-01,83,50
2015-05-01,93,52
2015-06-01,81,49
2015-07-01,91,47
2015-08-01,89,57
2015-09-01,82,46
2015-10-01,81,45
2015-11-01,81,47
2015-12-01,84,50
2016-01-01,92,52
2016-02-01,79,43
2016-03-01,85,49
2016-04-01,74,48
2016-05-01,89,47
2016-06-01,76,48
2016-07-01,80,47
2016-08-01,80,52
2016-09-01,88,50
2016-10-01,74,47
2016-11-01,78,44
2016-12-01,77,45
2017-01-01,81,61
