date,How to change settings on youtube,youtube private channel
2011-01-01,15,39
2011-02-01,15,39
2011-03-01,21,30
2011-04-01,15,38
2011-05-01,14,36
2011-06-01,11,52
2011-07-01,17,44
2011-08-01,20,50
2011-09-01,19,46
2011-10-01,16,48
2011-11-01,18,57
2011-12-01,22,75
2012-01-01,23,71
2012-02-01,23,72
2012-03-01,22,81
2012-04-01,23,61
2012-05-01,28,66
2012-06-01,23,54
2012-07-01,34,62
2012-08-01,28,72
2012-09-01,40,75
2012-10-01,33,58
2012-11-01,24,68
2012-12-01,34,79
2013-01-01,40,81
2013-02-01,38,81
2013-03-01,39,83
2013-04-01,31,69
2013-05-01,30,61
2013-06-01,33,67
2013-07-01,33,87
2013-08-01,37,100
2013-09-01,36,88
2013-10-01,34,72
2013-11-01,36,70
2013-12-01,41,78
2014-01-01,42,76
2014-02-01,41,89
2014-03-01,33,64
2014-04-01,40,76
2014-05-01,38,62
2014-06-01,25,56
2014-07-01,28,68
2014-08-01,34,54
2014-09-01,32,58
2014-10-01,32,56
2014-11-01,34,61
2014-12-01,32,69
2015-01-01,39,69
2015-02-01,31,67
2015-03-01,33,68
2015-04-01,33,63
2015-05-01,39,65
2015-06-01,30,57
2015-07-01,33,60
2015-08-01,34,59
2015-09-01,31,60
2015-10-01,29,54
2015-11-01,26,57
2015-12-01,38,57
2016-01-01,36,66
2016-02-01,28,58
2016-03-01,31,62
2016-04-01,31,70
2016-05-01,30,59
2016-06-01,29,65
2016-07-01,27,53
2016-08-01,24,69
2016-09-01,33,60
2016-10-01,26,66
2016-11-01,26,50
2016-12-01,24,60
2017-01-01,32,76
