date,youtube privacy,youtube private channel
2011-01-01,59,14
2011-02-01,57,16
2011-03-01,60,14
2011-04-01,59,11
2011-05-01,45,12
2011-06-01,61,17
2011-07-01,48,19
2011-08-01,52,15
2011-09-01,82,17
2011-10-01,79,16
2011-11-01,69,19
2011-12-01,77,26
2012-01-01,93,26
2012-02-01,100,26
2012-03-01,84,27
2012-04-01,75,24
2012-05-01,54,20
2012-06-01,46,24
2012-07-01,65,22
2012-08-01,62,27
2012-09-01,55,30
2012-10-01,73,22
2012-11-01,68,23
2012-12-01,76,27
2013-01-01,69,28
2013-02-01,73,31
2013-03-01,70,26
2013-04-01,62,26
2013-05-01,58,20
2013-06-01,50,28
2013-07-01,50,32
2013-08-01,52,36
2013-09-01,58,31
2013-10-01,60,27
2013-11-01,63,21
2013-12-01,61,29
2014-01-01,59,29
2014-02-01,60,31
2014-03-01,62,25
2014-04-01,61,28
2014-05-01,65,23
2014-06-01,57,21
2014-07-01,49,24
2014-08-01,52,26
2014-09-01,57,21
2014-10-01,65,19
2014-11-01,64,21
2014-12-01,62,25
2015-01-01,65,21
2015-02-01,61,27
2015-03-01,64,26
2015-04-01,70,23
2015-05-01,65,24
2015-06-01,60,22
2015-07-01,57,22
2015-08-01,70,26
2015-09-01,69,21
2015-10-01,70,21
2015-11-01,64,22
2015-12-01,61,23
2016-01-01,64,24
2016-02-01,65,20
2016-03-01,72,23
2016-04-01,65,22
2016-05-01,62,22
2016-06-01,64,22
2016-07-01,51,22
2016-08-01,62,24
2016-09-01,66,23
2016-10-01,65,22
2016-11-01,54,20
2016-12-01,56,21
2017-01-01,61,28
