date,how to share youtube videos on facebook
2011-01-01,14
2011-02-01,32
2011-03-01,36
2011-04-01,58
2011-05-01,44
2011-06-01,36
2011-07-01,60
2011-08-01,56
2011-09-01,68
2011-10-01,73
2011-11-01,83
2011-12-01,100
2012-01-01,96
2012-02-01,91
2012-03-01,90
2012-04-01,89
2012-05-01,73
2012-06-01,60
2012-07-01,66
2012-08-01,61
2012-09-01,53
2012-10-01,42
2012-11-01,30
2012-12-01,31
2013-01-01,40
2013-02-01,40
2013-03-01,30
2013-04-01,25
2013-05-01,40
2013-06-01,52
2013-07-01,34
2013-08-01,27
2013-09-01,39
2013-10-01,45
2013-11-01,37
2013-12-01,21
2014-01-01,23
2014-02-01,30
2014-03-01,29
2014-04-01,15
2014-05-01,17
2014-06-01,17
2014-07-01,24
2014-08-01,22
2014-09-01,16
2014-10-01,16
2014-11-01,23
2014-12-01,24
2015-01-01,17
2015-02-01,19
2015-03-01,12
2015-04-01,24
2015-05-01,25
2015-06-01,16
2015-07-01,18
2015-08-01,15
2015-09-01,19
2015-10-01,15
2015-11-01,18
2015-12-01,17
2016-01-01,16
2016-02-01,26
2016-03-01,21
2016-04-01,13
2016-05-01,16
2016-06-01,20
2016-07-01,22
2016-08-01,22
2016-09-01,20
2016-10-01,15
2016-11-01,21
2016-12-01,21
2017-01-01,20
