date,youtube unlisted video
2011-01-01,10
2011-02-01,14
2011-03-01,13
2011-04-01,15
2011-05-01,18
2011-06-01,15
2011-07-01,20
2011-08-01,19
2011-09-01,21
2011-10-01,23
2011-11-01,23
2011-12-01,18
2012-01-01,16
2012-02-01,21
2012-03-01,20
2012-04-01,25
2012-05-01,30
2012-06-01,25
2012-07-01,28
2012-08-01,27
2012-09-01,23
2012-10-01,24
2012-11-01,33
2012-12-01,33
2013-01-01,29
2013-02-01,34
2013-03-01,27
2013-04-01,33
2013-05-01,24
2013-06-01,30
2013-07-01,25
2013-08-01,33
2013-09-01,30
2013-10-01,28
2013-11-01,40
2013-12-01,51
2014-01-01,40
2014-02-01,44
2014-03-01,60
2014-04-01,82
2014-05-01,76
2014-06-01,71
2014-07-01,71
2014-08-01,74
2014-09-01,68
2014-10-01,65
2014-11-01,70
2014-12-01,65
2015-01-01,73
2015-02-01,71
2015-03-01,73
2015-04-01,73
2015-05-01,74
2015-06-01,67
2015-07-01,74
2015-08-01,63
2015-09-01,84
2015-10-01,65
2015-11-01,74
2015-12-01,84
2016-01-01,80
2016-02-01,100
2016-03-01,90
2016-04-01,93
2016-05-01,93
2016-06-01,83
2016-07-01,79
2016-08-01,79
2016-09-01,91
2016-10-01,99
2016-11-01,93
2016-12-01,96
2017-01-01,93
