date,youtube private video watch
2011-01-01,25
2011-02-01,20
2011-03-01,24
2011-04-01,36
2011-05-01,14
2011-06-01,27
2011-07-01,46
2011-08-01,50
2011-09-01,44
2011-10-01,42
2011-11-01,49
2011-12-01,56
2012-01-01,50
2012-02-01,44
2012-03-01,60
2012-04-01,55
2012-05-01,75
2012-06-01,61
2012-07-01,82
2012-08-01,63
2012-09-01,61
2012-10-01,54
2012-11-01,42
2012-12-01,76
2013-01-01,59
2013-02-01,88
2013-03-01,48
2013-04-01,58
2013-05-01,67
2013-06-01,95
2013-07-01,92
2013-08-01,67
2013-09-01,72
2013-10-01,75
2013-11-01,86
2013-12-01,77
2014-01-01,78
2014-02-01,76
2014-03-01,74
2014-04-01,82
2014-05-01,79
2014-06-01,88
2014-07-01,76
2014-08-01,100
2014-09-01,75
2014-10-01,57
2014-11-01,67
2014-12-01,82
2015-01-01,87
2015-02-01,82
2015-03-01,82
2015-04-01,66
2015-05-01,84
2015-06-01,76
2015-07-01,76
2015-08-01,74
2015-09-01,68
2015-10-01,80
2015-11-01,49
2015-12-01,76
2016-01-01,75
2016-02-01,58
2016-03-01,75
2016-04-01,75
2016-05-01,76
2016-06-01,75
2016-07-01,69
2016-08-01,59
2016-09-01,53
2016-10-01,64
2016-11-01,58
2016-12-01,44
2017-01-01,51
