date,Youtube privacy settings
2011-01-01,19
2011-02-01,29
2011-03-01,40
2011-04-01,26
2011-05-01,14
2011-06-01,33
2011-07-01,28
2011-08-01,29
2011-09-01,30
2011-10-01,46
2011-11-01,32
2011-12-01,49
2012-01-01,44
2012-02-01,49
2012-03-01,46
2012-04-01,36
2012-05-01,45
2012-06-01,43
2012-07-01,33
2012-08-01,47
2012-09-01,76
2012-10-01,52
2012-11-01,42
2012-12-01,58
2013-01-01,69
2013-02-01,77
2013-03-01,57
2013-04-01,59
2013-05-01,65
2013-06-01,49
2013-07-01,62
2013-08-01,65
2013-09-01,73
2013-10-01,74
2013-11-01,89
2013-12-01,82
2014-01-01,77
2014-02-01,88
2014-03-01,69
2014-04-01,61
2014-05-01,68
2014-06-01,72
2014-07-01,85
2014-08-01,70
2014-09-01,81
2014-10-01,76
2014-11-01,91
2014-12-01,80
2015-01-01,75
2015-02-01,65
2015-03-01,85
2015-04-01,87
2015-05-01,100
2015-06-01,85
2015-07-01,78
2015-08-01,88
2015-09-01,74
2015-10-01,90
2015-11-01,74
2015-12-01,91
2016-01-01,78
2016-02-01,68
2016-03-01,74
2016-04-01,68
2016-05-01,71
2016-06-01,80
2016-07-01,73
2016-08-01,66
2016-09-01,78
2016-10-01,74
2016-11-01,60
2016-12-01,58
2017-01-01,59
