date,youtube private channel
2011-01-01,39
2011-02-01,50
2011-03-01,37
2011-04-01,36
2011-05-01,47
2011-06-01,44
2011-07-01,46
2011-08-01,59
2011-09-01,48
2011-10-01,34
2011-11-01,52
2011-12-01,79
2012-01-01,69
2012-02-01,83
2012-03-01,81
2012-04-01,63
2012-05-01,60
2012-06-01,70
2012-07-01,76
2012-08-01,82
2012-09-01,72
2012-10-01,69
2012-11-01,67
2012-12-01,83
2013-01-01,80
2013-02-01,84
2013-03-01,77
2013-04-01,75
2013-05-01,56
2013-06-01,66
2013-07-01,90
2013-08-01,100
2013-09-01,91
2013-10-01,82
2013-11-01,78
2013-12-01,80
2014-01-01,80
2014-02-01,90
2014-03-01,73
2014-04-01,77
2014-05-01,67
2014-06-01,59
2014-07-01,75
2014-08-01,69
2014-09-01,60
2014-10-01,56
2014-11-01,60
2014-12-01,68
2015-01-01,67
2015-02-01,68
2015-03-01,82
2015-04-01,61
2015-05-01,78
2015-06-01,56
2015-07-01,64
2015-08-01,62
2015-09-01,60
2015-10-01,55
2015-11-01,67
2015-12-01,59
2016-01-01,74
2016-02-01,68
2016-03-01,66
2016-04-01,62
2016-05-01,62
2016-06-01,59
2016-07-01,63
2016-08-01,60
2016-09-01,58
2016-10-01,67
2016-11-01,62
2016-12-01,65
2017-01-01,75
