date,watch private video youtube
2011-01-01,49
2011-02-01,22
2011-03-01,26
2011-04-01,49
2011-05-01,10
2011-06-01,34
2011-07-01,50
2011-08-01,54
2011-09-01,55
2011-10-01,38
2011-11-01,56
2011-12-01,35
2012-01-01,37
2012-02-01,47
2012-03-01,52
2012-04-01,35
2012-05-01,66
2012-06-01,47
2012-07-01,80
2012-08-01,59
2012-09-01,61
2012-10-01,37
2012-11-01,54
2012-12-01,75
2013-01-01,55
2013-02-01,70
2013-03-01,62
2013-04-01,65
2013-05-01,52
2013-06-01,85
2013-07-01,100
2013-08-01,66
2013-09-01,65
2013-10-01,69
2013-11-01,92
2013-12-01,69
2014-01-01,70
2014-02-01,72
2014-03-01,82
2014-04-01,76
2014-05-01,74
2014-06-01,60
2014-07-01,59
2014-08-01,59
2014-09-01,51
2014-10-01,56
2014-11-01,66
2014-12-01,92
2015-01-01,81
2015-02-01,83
2015-03-01,75
2015-04-01,56
2015-05-01,81
2015-06-01,66
2015-07-01,79
2015-08-01,53
2015-09-01,69
2015-10-01,83
2015-11-01,52
2015-12-01,40
2016-01-01,70
2016-02-01,50
2016-03-01,57
2016-04-01,59
2016-05-01,61
2016-06-01,69
2016-07-01,64
2016-08-01,53
2016-09-01,62
2016-10-01,71
2016-11-01,48
2016-12-01,34
2017-01-01,53
