date,change youtube settings
2011-01-01,41
2011-02-01,30
2011-03-01,48
2011-04-01,26
2011-05-01,43
2011-06-01,38
2011-07-01,45
2011-08-01,48
2011-09-01,38
2011-10-01,53
2011-11-01,47
2011-12-01,62
2012-01-01,51
2012-02-01,63
2012-03-01,48
2012-04-01,46
2012-05-01,46
2012-06-01,64
2012-07-01,64
2012-08-01,67
2012-09-01,78
2012-10-01,73
2012-11-01,73
2012-12-01,86
2013-01-01,77
2013-02-01,77
2013-03-01,87
2013-04-01,80
2013-05-01,77
2013-06-01,78
2013-07-01,89
2013-08-01,92
2013-09-01,84
2013-10-01,88
2013-11-01,90
2013-12-01,90
2014-01-01,98
2014-02-01,88
2014-03-01,88
2014-04-01,86
2014-05-01,79
2014-06-01,73
2014-07-01,86
2014-08-01,90
2014-09-01,93
2014-10-01,76
2014-11-01,88
2014-12-01,84
2015-01-01,100
2015-02-01,83
2015-03-01,82
2015-04-01,86
2015-05-01,100
2015-06-01,86
2015-07-01,93
2015-08-01,94
2015-09-01,93
2015-10-01,86
2015-11-01,85
2015-12-01,82
2016-01-01,92
2016-02-01,73
2016-03-01,79
2016-04-01,77
2016-05-01,84
2016-06-01,76
2016-07-01,81
2016-08-01,79
2016-09-01,86
2016-10-01,82
2016-11-01,78
2016-12-01,79
2017-01-01,86
