date,unlisted youtube link
2011-01-01,18
2011-02-01,38
2011-03-01,34
2011-04-01,19
2011-05-01,17
2011-06-01,36
2011-07-01,29
2011-08-01,25
2011-09-01,32
2011-10-01,38
2011-11-01,31
2011-12-01,23
2012-01-01,14
2012-02-01,34
2012-03-01,34
2012-04-01,43
2012-05-01,27
2012-06-01,42
2012-07-01,32
2012-08-01,23
2012-09-01,20
2012-10-01,29
2012-11-01,41
2012-12-01,12
2013-01-01,28
2013-02-01,43
2013-03-01,18
2013-04-01,33
2013-05-01,25
2013-06-01,34
2013-07-01,22
2013-08-01,27
2013-09-01,18
2013-10-01,30
2013-11-01,24
2013-12-01,38
2014-01-01,16
2014-02-01,18
2014-03-01,44
2014-04-01,49
2014-05-01,36
2014-06-01,29
2014-07-01,53
2014-08-01,25
2014-09-01,58
2014-10-01,75
2014-11-01,70
2014-12-01,23
2015-01-01,43
2015-02-01,50
2015-03-01,33
2015-04-01,40
2015-05-01,27
2015-06-01,40
2015-07-01,36
2015-08-01,51
2015-09-01,62
2015-10-01,39
2015-11-01,48
2015-12-01,64
2016-01-01,44
2016-02-01,68
2016-03-01,74
2016-04-01,98
2016-05-01,100
2016-06-01,77
2016-07-01,75
2016-08-01,42
2016-09-01,67
2016-10-01,88
2016-11-01,84
2016-12-01,77
2017-01-01,75
