date,help delete facebook account,how to delete a facebook account
2011-01-01,2,81
2011-02-01,2,61
2011-03-01,2,56
2011-04-01,1,54
2011-05-01,3,60
2011-06-01,2,63
2011-07-01,3,74
2011-08-01,2,85
2011-09-01,2,82
2011-10-01,2,89
2011-11-01,3,100
2011-12-01,3,94
2012-01-01,3,98
2012-02-01,2,96
2012-03-01,3,98
2012-04-01,2,66
2012-05-01,2,64
2012-06-01,2,72
2012-07-01,2,95
2012-08-01,2,89
2012-09-01,3,72
2012-10-01,2,59
2012-11-01,3,80
2012-12-01,3,86
2013-01-01,2,73
2013-02-01,2,64
2013-03-01,3,74
2013-04-01,3,75
2013-05-01,3,57
2013-06-01,3,58
2013-07-01,2,72
2013-08-01,3,70
2013-09-01,3,51
2013-10-01,3,55
2013-11-01,4,61
2013-12-01,3,75
2014-01-01,2,66
2014-02-01,3,49
2014-03-01,3,50
2014-04-01,3,60
2014-05-01,3,64
2014-06-01,3,58
2014-07-01,3,54
2014-08-01,3,59
2014-09-01,4,62
2014-10-01,4,56
2014-11-01,3,56
2014-12-01,5,59
2015-01-01,4,62
2015-02-01,5,60
2015-03-01,5,60
2015-04-01,4,68
2015-05-01,3,55
2015-06-01,5,52
2015-07-01,6,66
2015-08-01,5,74
2015-09-01,4,58
2015-10-01,5,46
2015-11-01,5,46
2015-12-01,5,51
2016-01-01,5,64
2016-02-01,6,61
2016-03-01,8,51
2016-04-01,8,50
2016-05-01,7,52
2016-06-01,7,77
2016-07-01,8,73
2016-08-01,7,57
2016-09-01,7,58
2016-10-01,7,59
2016-11-01,8,71
2016-12-01,8,62
2017-01-01,9,64
