date,how to delete facebook account,how to delete a facebook account
2011-01-01,84,16
2011-02-01,61,12
2011-03-01,40,11
2011-04-01,44,11
2011-05-01,49,12
2011-06-01,53,12
2011-07-01,58,15
2011-08-01,82,17
2011-09-01,82,16
2011-10-01,86,17
2011-11-01,100,20
2011-12-01,93,18
2012-01-01,92,19
2012-02-01,94,19
2012-03-01,92,19
2012-04-01,77,13
2012-05-01,75,13
2012-06-01,68,14
2012-07-01,70,19
2012-08-01,69,18
2012-09-01,67,14
2012-10-01,62,12
2012-11-01,62,16
2012-12-01,64,17
2013-01-01,60,14
2013-02-01,59,13
2013-03-01,61,15
2013-04-01,58,15
2013-05-01,51,11
2013-06-01,54,11
2013-07-01,64,14
2013-08-01,60,14
2013-09-01,49,10
2013-10-01,49,11
2013-11-01,53,12
2013-12-01,62,15
2014-01-01,54,13
2014-02-01,48,10
2014-03-01,50,10
2014-04-01,58,12
2014-05-01,54,13
2014-06-01,53,11
2014-07-01,54,11
2014-08-01,58,12
2014-09-01,54,12
2014-10-01,52,11
2014-11-01,51,11
2014-12-01,53,12
2015-01-01,57,12
2015-02-01,51,12
2015-03-01,52,12
2015-04-01,52,13
2015-05-01,51,11
2015-06-01,51,10
2015-07-01,58,13
2015-08-01,60,15
2015-09-01,54,11
2015-10-01,48,9
2015-11-01,46,9
2015-12-01,50,10
2016-01-01,58,13
2016-02-01,56,12
2016-03-01,50,10
2016-04-01,48,10
2016-05-01,49,10
2016-06-01,65,15
2016-07-01,69,14
2016-08-01,56,11
2016-09-01,54,11
2016-10-01,60,12
2016-11-01,74,14
2016-12-01,60,12
2017-01-01,62,13
