date,remove Facebook account,how to delete a facebook account
2011-01-01,38,81
2011-02-01,36,61
2011-03-01,31,56
2011-04-01,30,54
2011-05-01,35,60
2011-06-01,40,63
2011-07-01,43,74
2011-08-01,62,85
2011-09-01,74,82
2011-10-01,68,89
2011-11-01,65,100
2011-12-01,79,94
2012-01-01,77,98
2012-02-01,78,96
2012-03-01,76,98
2012-04-01,64,66
2012-05-01,61,64
2012-06-01,64,72
2012-07-01,62,95
2012-08-01,67,89
2012-09-01,58,72
2012-10-01,52,59
2012-11-01,52,80
2012-12-01,52,86
2013-01-01,48,73
2013-02-01,50,64
2013-03-01,48,74
2013-04-01,45,75
2013-05-01,49,57
2013-06-01,46,58
2013-07-01,45,72
2013-08-01,46,70
2013-09-01,40,51
2013-10-01,39,55
2013-11-01,41,61
2013-12-01,41,75
2014-01-01,43,66
2014-02-01,43,49
2014-03-01,44,50
2014-04-01,40,60
2014-05-01,40,64
2014-06-01,41,58
2014-07-01,44,54
2014-08-01,47,59
2014-09-01,43,62
2014-10-01,39,56
2014-11-01,40,56
2014-12-01,44,59
2015-01-01,47,62
2015-02-01,43,60
2015-03-01,39,60
2015-04-01,42,68
2015-05-01,39,55
2015-06-01,41,52
2015-07-01,43,66
2015-08-01,41,74
2015-09-01,42,58
2015-10-01,41,46
2015-11-01,39,46
2015-12-01,38,51
2016-01-01,44,64
2016-02-01,42,61
2016-03-01,41,51
2016-04-01,45,50
2016-05-01,44,52
2016-06-01,45,77
2016-07-01,50,73
2016-08-01,53,57
2016-09-01,50,58
2016-10-01,51,59
2016-11-01,55,71
2016-12-01,55,62
2017-01-01,58,64
